ID,SITE_NAME,LON,LAT,DIST_RADIUS,COLL_RADIUS,SHIP_RADIUS,optional,Type
77,T_EQAREA_77,-116.9342105,34.2,250,250,350,TRUE,Equal Area
78,T_EQAREA_78,-106.4871795,33.23846154,250,250,350,TRUE,Equal Area
79,T_EQAREA_79,-74.59302326,42.96744186,250,250,350,TRUE,Equal Area
80,T_EQAREA_80,-100.53125,42.809375,250,250,350,TRUE,Equal Area
81,T_EQAREA_81,-103.5238095,41.39047619,250,250,350,TRUE,Equal Area
82,T_EQAREA_82,-100.3918919,39.86216216,250,250,350,TRUE,Equal Area
83,T_EQAREA_83,-91.65384615,38.32820513,250,250,350,TRUE,Equal Area
84,T_EQAREA_84,-118.0862069,45.32068966,250,250,350,TRUE,Equal Area
85,T_EQAREA_85,-98.35714286,28.02857143,250,250,350,TRUE,Equal Area
86,T_EQAREA_86,-88.86111111,36.06111111,250,250,350,TRUE,Equal Area
87,T_EQAREA_87,-98.01282051,33.11025641,250,250,350,TRUE,Equal Area
88,T_EQAREA_88,-108.2096774,44.90967742,250,250,350,TRUE,Equal Area
89,T_EQAREA_89,-114.6923077,36.55897436,250,250,350,TRUE,Equal Area
90,T_EQAREA_90,-77.89393939,42.12424242,250,250,350,TRUE,Equal Area
91,T_EQAREA_91,-88.91176471,31.86176471,250,250,350,TRUE,Equal Area
92,T_EQAREA_92,-106.6764706,41.7,250,250,350,TRUE,Equal Area
