IGRP,PLANT_NAME,SITE_NAME,PLANT_CODE,EMM_REGION,FuelRegion,STATE,LAT,LON,UNIT_ID,ECPT,SCAP,HeatRate,CF,R_CO2,CO2_EMIS,CAP_COST,VAR_COST,ACTIVE,SOURCE_TYPE,OGSM_Region
5619,Brush Generation Fac,CAP_GEN_P10682,10682,24,20,CO,40.24,-103.63,GT1,EC,25,11014,0.04,0.9,0.12,61.19,4.03,,GEN,5
5621,Brush Generation Fac,CAP_GEN_P10682,10682,24,20,CO,40.24,-103.63,GT3,EC,242,11014,0.04,0.9,1.24,78.32,4.03,,GEN,5
5631,Selkirk Cogen,CAP_GEN_P10725,10725,9,2,NY,42.57,-73.85,GEN1,EC,93.5,9732,0.12,0.9,0.42,52.7,13.56,,GEN,1
5632,Selkirk Cogen,CAP_GEN_P10725,10725,9,2,NY,42.57,-73.85,GEN5,EC,26.3,9732,0.12,0.9,0.11,94.1,13.56,,GEN,1
5633,Masspower,CAP_GEN_P10726,10726,7,1,MA,42.15,-72.52,GEN1,EC,245,8780,0.11,0.9,1,323.5,2.69,,GEN,1
1162,Prairie Creek,CAP_GEN_P1073,1073,3,8,IA,41.94,-91.63,1,C1,4.2,8800,1,0.9,0.02,19,10,,GEN,3
1164,Prairie Creek,CAP_GEN_P1073,1073,3,8,IA,41.94,-91.63,3,C1,29.3,12758,0.5,0.9,0.3,93.51,10,,GEN,3
5642,Morgantown Energy Fa,CAP_GEN_P10743,10743,11,11,WV,39.64,-79.96,GEN1,H4,50,18084,0.5,0.9,0.73,204.7,12.73,,GEN,1
5644,Midland Cogeneration,CAP_GEN_P10745,10745,5,5,MI,43.58,-84.22,BP15,EC,1859.4,9518,0.36,0.9,8.23,15.18,1.86,,GEN,1
5646,Camden Plant Holding,CAP_GEN_P10751,10751,10,2,NJ,39.91,-75.11,GEN1,EC,145,9414,0.05,0.9,0.63,163.77,3.19,,GEN,1
5649,Rifle Generating Sta,CAP_GEN_P10755,10755,24,20,CO,39.51,-107.73,GT2,EC,73,9393,0.01,0.9,0.31,30.51,4.66,,GEN,5
5651,Las Vegas Generating,CAP_GEN_P10761,10761,25,20,NV,36.23,-115.12,GEN1,EC,282,8750,0.12,0.9,1.14,9999,9999,,GEN,5
5666,Colstrip Energy LP,CAP_GEN_P10784,10784,23,19,MT,45.97,-106.65,GEN1,B3,38,13868,0.82,0.9,0.42,114.49,10,,GEN,7
86,Holcomb,CAP_GEN_P108,108,18,9,KS,37.93,-100.97,1,B7,359.1,10879,0.5,0.9,3.15,785.08,7.72,,GEN,3
