"ID","x1","x2","optional","Type"
1,-142.911764705882,63.5970588235294,TRUE,"Equal Area"
2,-151.837837837838,69.0783783783784,TRUE,"Equal Area"
3,-105.576923076923,38.5205128205128,TRUE,"Equal Area"
4,-93.6388888888889,35.7833333333334,TRUE,"Equal Area"
5,-109.918918918919,32.7945945945946,TRUE,"Equal Area"
6,-157.354166666667,59.2729166666666,TRUE,"Equal Area"
7,-82.7162162162162,39.7405405405406,TRUE,"Equal Area"
8,-158.72619047619,63.2714285714286,TRUE,"Equal Area"
9,-109.7,47.6833333333334,TRUE,"Equal Area"
10,-106.95,47.4333333333334,TRUE,"Equal Area"
11,-88.6527777777778,38.9222222222222,TRUE,"Equal Area"
12,-104.5,47.45,TRUE,"Equal Area"
13,-91.6285714285714,44.3142857142857,TRUE,"Equal Area"
14,-161,55.7357142857143,TRUE,"Equal Area"
15,-111.086206896552,45.3034482758621,TRUE,"Equal Area"
16,-160.903846153846,60.9884615384615,TRUE,"Equal Area"
17,-99.3088235294118,47.5235294117647,TRUE,"Equal Area"
18,-91.7857142857143,41.4142857142857,TRUE,"Equal Area"
19,-111.430555555556,37.8388888888889,TRUE,"Equal Area"
20,-85.4189189189189,31.6324324324325,TRUE,"Equal Area"
21,-104.371794871795,35.3410256410257,TRUE,"Equal Area"
22,-94.95,44.4625,TRUE,"Equal Area"
23,-112.818181818182,47.5333333333334,TRUE,"Equal Area"
24,-120.632352941176,44.0676470588236,TRUE,"Equal Area"
25,-86.9545454545455,34.0939393939394,TRUE,"Equal Area"
26,-164.118421052632,61.5421052631579,TRUE,"Equal Area"
27,-97.6470588235294,38.8764705882353,TRUE,"Equal Area"
28,-117.80303030303,37.1545454545455,TRUE,"Equal Area"
29,-160.972972972973,65.8891891891892,TRUE,"Equal Area"
30,-79.640625,34.575,TRUE,"Equal Area"
31,-85.9428571428571,40.1857142857143,TRUE,"Equal Area"
32,-102,47.7,TRUE,"Equal Area"
33,-115.370967741935,42.4580645161291,TRUE,"Equal Area"
34,-97.5714285714286,42,TRUE,"Equal Area"
35,-155.767441860465,62.9093023255814,TRUE,"Equal Area"
36,-109.467741935484,42.5387096774194,TRUE,"Equal Area"
37,-111.3125,35.215625,TRUE,"Equal Area"
38,-165.5,65.1821428571429,TRUE,"Equal Area"
39,-118.203125,42.496875,TRUE,"Equal Area"
40,-79.6704545454545,39.8477272727273,TRUE,"Equal Area"
41,-108.060975609756,36.0536585365854,TRUE,"Equal Area"
42,-94.4868421052632,32.8578947368421,TRUE,"Equal Area"
43,-153.988372093023,66.0488372093023,TRUE,"Equal Area"
44,-152.590909090909,62.7681818181818,TRUE,"Equal Area"
45,-157.454545454545,69.9272727272727,TRUE,"Equal Area"
46,-115.151515151515,45.3363636363637,TRUE,"Equal Area"
47,-94.7142857142857,41.4142857142857,TRUE,"Equal Area"
48,-103.586956521739,31.2,TRUE,"Equal Area"
49,-101.5,33.7625,TRUE,"Equal Area"
50,-82.625,30.3607142857143,TRUE,"Equal Area"
51,-154.702702702703,69.254054054054,TRUE,"Equal Area"
52,-99.7894736842105,36.2526315789474,TRUE,"Equal Area"
53,-148.757142857143,69.0428571428571,TRUE,"Equal Area"
54,-147.9,66.25,TRUE,"Equal Area"
55,-113.890625,39.6375,TRUE,"Equal Area"
56,-145.807692307692,61.8794871794872,TRUE,"Equal Area"
57,-98.3823529411765,44.9352941176471,TRUE,"Equal Area"
58,-111.516666666667,40.9333333333334,TRUE,"Equal Area"
59,-81.325,36.9,TRUE,"Equal Area"
60,-122.930555555556,43.0472222222222,TRUE,"Equal Area"
61,-84,34.8060606060606,TRUE,"Equal Area"
62,-150.776315789474,65.9368421052632,TRUE,"Equal Area"
63,-88.8285714285714,45.5571428571429,TRUE,"Equal Area"
64,-108.689189189189,39.2810810810811,TRUE,"Equal Area"
65,-122.588235294118,39.95,TRUE,"Equal Area"
66,-91.1184210526316,34.2394736842105,TRUE,"Equal Area"
67,-88.9324324324324,42.1324324324325,TRUE,"Equal Area"
68,-96.6857142857143,35.8142857142857,TRUE,"Equal Area"
69,-145.725806451613,64.8451612903226,TRUE,"Equal Area"
70,-95.9880952380952,47.5095238095238,TRUE,"Equal Area"
71,-142.2,61.1142857142857,TRUE,"Equal Area"
72,-76.0138888888889,39.9222222222222,TRUE,"Equal Area"
73,-100.051282051282,30.674358974359,TRUE,"Equal Area"
74,-102.554054054054,37.8486486486487,TRUE,"Equal Area"
75,-94.7727272727273,38.5636363636364,TRUE,"Equal Area"
76,-119.5,47.6428571428572,TRUE,"Equal Area"
77,-81.28,27.22,TRUE,"Equal Area"
78,-119.878378378378,40.0918918918919,TRUE,"Equal Area"
79,-113.402777777778,33.45,TRUE,"Equal Area"
80,-122.448717948718,46.8538461538462,TRUE,"Equal Area"
81,-85.2875,37.2625,TRUE,"Equal Area"
82,-84.3484848484848,42.5484848484849,TRUE,"Equal Area"
83,-92.6285714285714,47.0571428571429,TRUE,"Equal Area"
84,-157.457446808511,66.6255319148936,TRUE,"Equal Area"
85,-71.8333333333333,43.1615384615385,TRUE,"Equal Area"
86,-96.0731707317073,30.3463414634147,TRUE,"Equal Area"
87,-85.0416666666667,44.825,TRUE,"Equal Area"
88,-132.267857142857,56.2357142857143,TRUE,"Equal Area"
89,-150.032258064516,60.8774193548387,TRUE,"Equal Area"
90,-116.03125,47.79375,TRUE,"Equal Area"
91,-105.081081081081,44.3756756756757,TRUE,"Equal Area"
92,-163.642857142857,68.2714285714286,TRUE,"Equal Area"
93,-77.5121951219512,36.6512195121951,TRUE,"Equal Area"
