"IGRP","PLANT_NAME","SITE_NAME","PLANT_CODE","EMM_REGION","FuelRegion","STATE","LAT","LON","UNIT_ID","ECPT","SCAP","HeatRate","CF","R_CO2","CO2_EMIS","CAP_COST","VAR_COST","ACTIVE","SOURCE_TYPE","HR_ADJ"
1139.00,"Whitewater Valley","CAP_GEN_P1040",1040.00,11.00,5.00,"IN",39.80,-84.89,"1","B1",34.70,13425.00,0.50,0.90,0.37,106.71,10.00,,"GEN",
1140.00,"Whitewater Valley","CAP_GEN_P1040",1040.00,11.00,5.00,"IN",39.80,-84.89,"2","B1",65.00,13279.00,0.50,0.90,0.69,284.07,12.69,,"GEN",
5619.00,"Brush Generation Fac","CAP_GEN_P10682",10682.00,24.00,20.00,"CO",40.24,-103.63,"GT1","EC",25.00,11014.00,0.04,0.90,0.12,61.19,4.03,,"GEN",
5621.00,"Brush Generation Fac","CAP_GEN_P10682",10682.00,24.00,20.00,"CO",40.24,-103.63,"GT3","EC",242.00,11014.00,0.04,0.90,1.24,78.32,4.03,,"GEN",
5631.00,"Selkirk Cogen","CAP_GEN_P10725",10725.00,9.00,2.00,"NY",42.57,-73.85,"GEN1","EC",93.50,9732.00,0.12,0.90,0.42,52.70,13.56,,"GEN",
5632.00,"Selkirk Cogen","CAP_GEN_P10725",10725.00,9.00,2.00,"NY",42.57,-73.85,"GEN5","EC",26.30,9732.00,0.12,0.90,0.11,94.10,13.56,,"GEN",
5633.00,"Masspower","CAP_GEN_P10726",10726.00,7.00,1.00,"MA",42.15,-72.52,"GEN1","EC",245.00,8780.00,0.11,0.90,1.00,323.50,2.69,,"GEN",
1162.00,"Prairie Creek","CAP_GEN_P1073",1073.00,3.00,8.00,"IA",41.94,-91.63,"1","C1",4.20,8800.00,1.00,0.90,0.02,19.00,10.00,,"GEN",
1164.00,"Prairie Creek","CAP_GEN_P1073",1073.00,3.00,8.00,"IA",41.94,-91.63,"3","C1",29.30,12758.00,0.50,0.90,0.30,93.51,10.00,,"GEN",
5642.00,"Morgantown Energy Fa","CAP_GEN_P10743",10743.00,11.00,11.00,"WV",39.64,-79.96,"GEN1","H4",50.00,18084.00,0.50,0.90,0.73,204.70,12.73,,"GEN",
5644.00,"Midland Cogeneration","CAP_GEN_P10745",10745.00,5.00,5.00,"MI",43.58,-84.22,"BP15","EC",1859.40,9518.00,0.36,0.90,8.23,15.18,1.86,,"GEN",
5646.00,"Camden Plant Holding","CAP_GEN_P10751",10751.00,10.00,2.00,"NJ",39.91,-75.11,"GEN1","EC",145.00,9414.00,0.05,0.90,0.63,163.77,3.19,,"GEN",
5649.00,"Rifle Generating Sta","CAP_GEN_P10755",10755.00,24.00,20.00,"CO",39.51,-107.73,"GT2","EC",73.00,9393.00,0.01,0.90,0.31,30.51,4.66,,"GEN",
5651.00,"Las Vegas Generating","CAP_GEN_P10761",10761.00,25.00,20.00,"NV",36.23,-115.12,"GEN1","EC",282.00,8750.00,0.12,0.90,1.14,9999.00,9999.00,,"GEN",
5666.00,"Colstrip Energy LP","CAP_GEN_P10784",10784.00,23.00,19.00,"MT",45.97,-106.65,"GEN1","B3",38.00,13868.00,0.82,0.90,0.42,114.49,10.00,,"GEN",
86.00,"Holcomb","CAP_GEN_P108",108.00,18.00,9.00,"KS",37.93,-100.97,"1","B7",359.10,10879.00,0.50,0.90,3.15,785.08,7.72,,"GEN",
5674.00,"Kenilworth Energy Fa","CAP_GEN_P10805",10805.00,10.00,2.00,"NJ",40.67,-74.27,"GEN1","EC",24.50,10790.00,0.64,0.90,0.12,72.94,6.20,,"GEN",
5686.00,"Ada Cogeneration LP","CAP_GEN_P10819",10819.00,5.00,5.00,"MI",42.96,-85.49,"GEN1","EC",30.00,10688.00,0.71,0.90,0.14,80.75,6.30,,"GEN",
1174.00,"Walter Scott Jr Ener","CAP_GEN_P1082",1082.00,3.00,8.00,"IA",41.18,-95.84,"3","B7",705.18,9925.00,0.57,0.90,5.66,1154.50,6.55,,"GEN",
117.00,"Cross","CAP_GEN_P130",130.00,14.00,13.00,"SC",33.37,-80.11,"4","C7",615.00,9977.00,0.57,0.90,4.96,1077.86,6.71,,"GEN",
1478.00,"E W Brown","CAP_GEN_P1355",1355.00,16.00,16.00,"KY",37.78,-84.71,"3","C7",412.00,11792.00,0.50,0.90,3.92,850.35,7.48,,"GEN",
1483.00,"Ghent","CAP_GEN_P1356",1356.00,16.00,16.00,"KY",38.75,-85.03,"1","C7",474.00,10778.00,0.67,0.90,4.13,929.22,7.20,,"GEN",
1485.00,"Ghent","CAP_GEN_P1356",1356.00,16.00,16.00,"KY",38.75,-85.03,"2","C7",495.00,10792.00,0.64,0.90,4.32,917.36,7.24,,"GEN",
1488.00,"Ghent","CAP_GEN_P1356",1356.00,16.00,16.00,"KY",38.75,-85.03,"3","C7",485.00,11037.00,0.59,0.90,4.32,916.81,7.24,,"GEN",
1490.00,"Ghent","CAP_GEN_P1356",1356.00,16.00,16.00,"KY",38.75,-85.03,"4","C7",465.00,10974.00,0.63,0.90,4.12,862.89,7.44,,"GEN",
118.00,"Seminole (FL)","CAP_GEN_P136",136.00,2.00,15.00,"FL",29.73,-81.63,"1","C7",626.00,10049.00,0.60,0.90,5.08,1050.21,6.96,,"GEN",
119.00,"Seminole (FL)","CAP_GEN_P136",136.00,2.00,15.00,"FL",29.73,-81.63,"2","C7",634.00,10015.00,0.65,0.90,5.13,1157.82,6.66,,"GEN",
120.00,"Seminole (FL)","CAP_GEN_P136",136.00,2.00,15.00,"FL",29.73,-81.63,"CT2","EC",1099.40,6431.00,0.87,0.90,3.29,1012.65,10.00,,"GEN",
1502.00,"Cane Run","CAP_GEN_P1363",1363.00,16.00,16.00,"KY",38.18,-85.88,"7B","EC",663.00,7050.00,0.77,0.90,2.17,704.10,10.00,,"GEN",
1503.00,"Mill Creek (KY)","CAP_GEN_P1364",1364.00,16.00,16.00,"KY",38.05,-85.91,"1","C4",300.00,10756.00,0.62,0.90,2.60,649.45,8.45,,"GEN",
