PLANT_NAME,EMM_REGION,PLANT_CODE,STATE,LAT,LON,UID,IGRP,SUM_CAP,HEATRATE,CF,FuelRegion,GROUP,CCSROV,CCSF,CCSV,CCSHR,old22emm
Oneta Energy Center,17,55225,OK,95.697,-36.012,STG1,6619,244.6,7376,0.35,99,Gas,646.5,0,2.72,8689.7,18
Oneta Energy Center,17,55225,OK,95.697,-36.012,STG2,6619,244.6,7376,0.35,99,Gas,645.4,0,2.72,8689.7,18
Freestone Energy Cen,1,55226,TX,96.113,-31.891,GT1,6620,153,7196,0.539,99,Gas,679,0,2.8,8440.9,1
Freestone Energy Cen,1,55226,TX,96.113,-31.891,GT2,6620,153,7196,0.539,99,Gas,677.4,0,2.76,8440.9,1
Freestone Energy Cen,1,55226,TX,96.113,-31.891,GT3,6620,149,7196,0.539,99,Gas,679,0,2.8,8440.9,1
Freestone Energy Cen,1,55226,TX,96.113,-31.891,GT4,6620,149,7196,0.539,99,Gas,677.4,0,2.76,8440.9,1
Freestone Energy Cen,1,55226,TX,96.113,-31.891,ST3,6620,177,7196,0.539,99,Gas,677.4,0,2.76,8440.9,1
Freestone Energy Cen,1,55226,TX,96.113,-31.891,ST6,6620,172,7196,0.539,99,Gas,679,0,2.8,8440.9,1
Jack County,1,55230,TX,97.957,-33.101,CT1,6623,165,7177,0.503,99,Gas,584,0,2.61,8414.8,1
Jack County,1,55230,TX,97.957,-33.101,CT2,6623,165,7177,0.503,99,Gas,578.4,0,2.61,8414.8,1
Jack County,1,55230,TX,97.957,-33.101,CT3,6623,165,7177,0.503,99,Gas,578.4,0,2.61,8414.8,1
Jack County,1,55230,TX,97.957,-33.101,CT4,6623,165,7177,0.503,99,Gas,584,0,2.61,8414.8,1
Jack County,1,55230,TX,97.957,-33.101,ST1,6623,290.5,7177,0.503,99,Gas,584,0,2.61,8414.8,1
Jack County,1,55230,TX,97.957,-33.101,ST2,6623,290.5,7177,0.503,99,Gas,578.4,0,2.61,8414.8,1
Liberty Electric Pow,10,55231,PA,75.336,-39.861,GTG1,6624,158.6,7253,0.776,99,Gas,655.1,0,2.66,8519.5,9
Liberty Electric Pow,10,55231,PA,75.336,-39.861,GTG2,6624,158.6,7253,0.776,99,Gas,655.1,0,2.66,8519.5,9
Liberty Electric Pow,10,55231,PA,75.336,-39.861,STG,6624,223.8,7253,0.776,99,Gas,655.1,0,2.66,8519.5,9
Red Oak Power LLC,10,55239,NJ,74.349,-40.449,1,6631,165.3,7234,0.722,99,Gas,719.6,0,2.86,8493.3,9
Red Oak Power LLC,10,55239,NJ,74.349,-40.449,2,6631,165.3,7234,0.722,99,Gas,719.6,0,2.86,8493.3,9
Red Oak Power LLC,10,55239,NJ,74.349,-40.449,3,6631,165.3,7234,0.722,99,Gas,719.6,0,2.86,8493.3,9
Red Oak Power LLC,10,55239,NJ,74.349,-40.449,4,6631,270,7234,0.722,99,Gas,719.6,0,2.86,8493.3,9
Hog Bayou Energy Cen,15,55241,AL,88.058,-30.748,CT01,6632,155,7543,0.461,99,Gas,911.1,0,3.48,8922.4,14
Hog Bayou Energy Cen,15,55241,AL,88.058,-30.748,ST01,6632,75,7543,0.461,99,Gas,911.1,0,3.48,8922.4,14
Santa Rosa Energy Ce,15,55242,FL,87.115,-30.566,CT01,6633,161.4,7660,0.291,99,Gas,885.1,0,3.54,9086.6,14
Santa Rosa Energy Ce,15,55242,FL,87.115,-30.566,ST01,6633,74.5,7660,0.291,99,Gas,885.1,0,3.54,9086.6,14
Whiting Clean Energy,4,55259,IN,87.478,-41.674,CT1,6643,150,12264,0.454,99,Gas,697.5,0,4.48,16381.7,11
Whiting Clean Energy,4,55259,IN,87.478,-41.674,CT2,6643,150,12264,0.454,99,Gas,697.5,0,4.48,16381.7,11
Whiting Clean Energy,4,55259,IN,87.478,-41.674,ST1,6643,213,12264,0.454,99,Gas,697.5,0,4.48,16381.7,11
TVA Southaven Combin,16,55269,MS,90.038,-34.994,CTG1,6649,157,7269,0.453,99,Gas,843.1,0,3.3,8541.5,15
TVA Southaven Combin,16,55269,MS,90.038,-34.994,CTG2,6649,157,7269,0.453,99,Gas,843.1,0,3.3,8541.5,15
TVA Southaven Combin,16,55269,MS,90.038,-34.994,CTG3,6651,157,7269,0.453,99,Gas,843.1,0,3.3,8541.5,15
TVA Southaven Combin,16,55269,MS,90.038,-34.994,STG1,6653,103,7269,0.453,99,Gas,843.1,0,3.3,8541.5,15
TVA Southaven Combin,16,55269,MS,90.038,-34.994,STG2,6654,103,7269,0.453,99,Gas,843.1,0,3.3,8541.5,15
TVA Southaven Combin,16,55269,MS,90.038,-34.994,STG3,6655,103,7269,0.453,99,Gas,843.1,0,3.3,8541.5,15
Jackson Generating S,5,55270,MI,84.377,-42.249,7EA,6657,70,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,LM1,6657,49,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,LM2,6657,49,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,LM3,6657,49,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,LM4,6657,49,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,LM5,6657,49,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,LM6,6657,49,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,ST1,6657,100,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Jackson Generating S,5,55270,MI,84.377,-42.249,ST2,6657,100,8732,0.202,99,Gas,653.9,0,3.15,10635.4,10
Tenaska Lindsay Hill,15,55271,AL,86.739,-32.651,GTG1,6658,152,7232,0.4,99,Gas,680.3,0,2.8,8490.5,14
Tenaska Lindsay Hill,15,55271,AL,86.739,-32.651,GTG2,6658,152,7232,0.4,99,Gas,680.3,0,2.8,8490.5,14
Tenaska Lindsay Hill,15,55271,AL,86.739,-32.651,GTG3,6658,149.001,7232,0.4,99,Gas,680.3,0,2.8,8490.5,14
Tenaska Lindsay Hill,15,55271,AL,86.739,-32.651,STG1,6659,392,7232,0.4,99,Gas,680.3,0,2.8,8490.5,14
Arlington Valley Ene,20,55282,AZ,112.89,-33.342,CTG1,6663,162,7430,0.283,99,Gas,618.5,0,2.71,8764.7,19
Arlington Valley Ene,20,55282,AZ,112.89,-33.342,CTG2,6663,163,7430,0.283,99,Gas,618.5,0,2.71,8764.7,19
Arlington Valley Ene,20,55282,AZ,112.89,-33.342,STG1,6663,255,7430,0.283,99,Gas,618.5,0,2.71,8764.7,19
Front Range Power Pl,24,55283,CO,104.707,-38.628,1,6664,135,7804,0.375,99,Gas,715.1,0,3.03,9289.9,22
Front Range Power Pl,24,55283,CO,104.707,-38.628,2,6664,135,7804,0.375,99,Gas,715.1,0,3.03,9289.9,22
Front Range Power Pl,24,55283,CO,104.707,-38.628,3,6664,190,7804,0.375,99,Gas,715.1,0,3.03,9289.9,22
Decatur Energy Cente,16,55292,AL,87.021,-34.629,CTG1,6670,155,7760,0.334,99,Gas,735,0,3.11,9227.6,15
Decatur Energy Cente,16,55292,AL,87.021,-34.629,CTG2,6670,155,7760,0.334,99,Gas,735,0,3.11,9227.6,15
Decatur Energy Cente,16,55292,AL,87.021,-34.629,CTG3,6670,155,7760,0.334,99,Gas,735,0,3.11,9227.6,15
