ID,Capacity_MMT,INJ_TYPE,SITE_NAME,T_NODE,EMM_REGION,Fuel_Region,OGSM_Region,State,LAT,LON,SiteMax_MMT,THICKNESS,Dtop,PA,Sdrill,MaxUse,ASMDisc,FormA,FormInjRate,Rdrill,Asdrill,MidDensity,lith_coeff,porosity,DCMW,S2DL,Mwells,ASMWell,ASMWell_Str_D,S3D,Maxprojinjrate,MaxWellInjRate,Inj_W_D,Str_D,Rdepth,Mwells_Rdepth,Rdepth_Cdia_Mwells,Mwells_Rdrill,AS_ASM,FpipeCC,INJ_R,PADepCC,Plume_R,Fin_ind,S5YR_ind,ResMWells,Tonnes,I_Wells,PA_B,MW_depth,M_Wells,Pdia,DCM_Wells,Inj_depth,DCMW_AC,wellPa_ETUC,ResmWell_ETUC,PlumeR_ETUC,W_PlumeR_ETUC,StratT,PreopSite,PreopWell,PreopPA,DiscPISC,FiveETUC,ThreeTRC
12,2087.743627,General,ND_SAL_Basal Cambrian6,E_ND_OGSM_7,3,7,7,ND,47.23,-102.372,6.6,260,10420,461.58,4.21614477,0.4,76.05,12616,3660,4.21614477,3.94525193,711.58,0.06,0.04,185.12,73.46,117.4,115.395,1238200.76,838.8973,10958.9,1.3359,10.6,0.01073,10.47,1229137.76,9218533.18,494959191.3,455266908.8,18750329.11,0.693264021,103.5541,25.645,0.4289,0.032608,116,0.6933,4,184.56,10270,50,15.33,29,10730,801584,2337500,59163,38384,51127,28261701,23394969,22625548,2775974,281023711,5622827,15181977
13,3741.37278,General,ND_SAL_Basal Cambrian7,E_ND_OGSM_7,3,7,7,ND,47.472,-100.884,13.5,260,7525,220.97,2.61784595,0.4,76.05,10823,3660,2.61784595,2.38846401,691.37,0.06,0.09,185.12,35.17,57.24,55.2425,432815.2,353.5487,10958.9,1.3359,7.705,0.007835,7.575,433602.48,3252018.58,149848777.4,131941740.1,11219953.85,1.448193185,94.1309,12.5375,0.2097,0.032608,56,1.4482,4,159.1,7375,50,14.23,29,7835,801584,2337500,50189,38384,51127,18772752,23474330,14855654,2775974,251484558,3681657,10301931
14,5665.6381,General,ND_SAL_Basal Cambrian8,E_ND_OGSM_7,3,7,7,ND,47.851,-99.542,19.5,260,4595,153.02,1.28727419,0.4,76.05,11350,3660,1.28727419,1.10879951,650.44,0.06,0.13,185.12,24.35,40.26,38.255,187643.22,208.0798,10958.9,1.3359,4.775,0.004905,4.645,186986.79,1402400.92,51819863.91,42417677.49,7770007.28,2.091202763,84.2879,8.6798,0.1452,0.032608,39,2.0912,4,135.25,4445,50,13.12,29,4905,801584,2337500,41106,38384,51127,10769159,22655007,8312254,2775974,222853750,2047125,6249219
15,1652.245547,General,TN_SAL_Basal Sandstone TN Zone 1,E_TN_OGSM_1,16,16,1,TN,35.785,-86.667,5.7,112,5978,525.55,1.35765058,0.4,76.05,15247,337.43,1.35765058,1.22586384,673.4,0.08,0.07,185.12,83.64,133.39,131.3875,806719.39,763.509,10958.9,0.12316195,6.084,0.00614,6.028,804059.99,6030449.89,181093647.4,161063212.8,16011533.86,0.608885851,85.5013,29.6942,0.4967,0.032608,132,0.6089,8,145.07,5828,50,13.59,29,6140,801584,2337500,44934,38384,102255,11306439,21139506,17628368,2775974,236071774,2172052,6604377
16,778.1059438,General,TN_SAL_Basal Sandstone TN Zone 2,E_TN_OGSM_1,16,16,1,TN,35.737,-85.086,7.8,128,8314,388.5,2.54390848,0.4,76.05,5308,503.4,2.54390848,2.35805144,697.44,0.08,0.08,185.12,61.83,99.13,97.125,824795.87,633.4973,10958.9,0.183741,8.428,0.008492,8.364,829091.72,6218187.88,252168035.5,229028627.1,15781709.54,0.823670498,95.1152,21.6996,0.3629,0.032608,98,0.8237,7,164.71,8164,50,14.48,29,8492,801584,2337500,52225,38384,89473,18580730,22404201,25568095,2775974,259108122,3620033,10189979
17,16390.93634,General,TX_SAL_Canyon1,E_TX_OGSM_4,1,18,3,TX,34.679,-101.657,54,724,5517,55.62,1.44328876,0.4,76.05,15157,3660,1.44328876,1.10322417,832.3,0.07,0.09,120.9,8.85,15.91,13.905,87478.39,81.2724,10958.9,1.3359,5.929,0.006291,5.567,88544.94,664087.04,22955975.41,15340689.51,2824286.03,3.2,58.0101,3.1344,0.0524,0.032608,14,3.2,4,91.26,5367,28,10.78,18,6291,516988,1299650,45402,28627,38131,11699104,17972582,9229907,1551121,146247528,2275915,3858049
18,9194.150605,General,NM_SAL_Canyon2,E_NM_OGSM_4,20,21,4,NM,34.631,-103.846,54,724,5517,55.62,1.22815644,0.4,76.05,8502,3660,1.22815644,1.02884091,832.3,0.07,0.09,120.9,8.85,15.91,13.905,87478.39,81.2724,10958.9,1.3359,5.929,0.006291,5.567,88544.94,664087.04,19534226.14,14306366.21,2824286.03,3.2,58.0101,3.1344,0.0524,0.032608,14,3.2,4,91.26,5367,28,10.78,18,6291,516988,1299650,45402,28627,38131,10066146,17972582,8240299,1551121,146247528,2028513,3629769
19,65971.14335,General,TX_SAL_Canyon3,E_TX_OGSM_4,1,18,4,TX,31.763,-102.457,66,1000,7850,45.51,2.68710673,0.4,76.05,49915,3660,2.68710673,2.06299341,736.46,0.07,0.09,108.35,7.24,13.38,11.3775,101260.18,76.4744,10958.9,1.3359,8.4,0.0089,7.9,105682.63,792619.74,35946900.28,23471807.27,2310873.94,3.2,57.5487,2.5645,0.0429,0.032608,12,3.2,4,94.42,7700,23,10.96,16,8900,461416,1056550,53490,25894,34491,19353898,17347540,15327923,1272055,143477480,3799245,4966065
20,11873.88064,General,NM_SAL_Canyon4,E_NM_OGSM_4,20,21,4,NM,32.934,-103.637,66,1000,7850,45.51,2.16909431,0.4,76.05,8984,3660,2.16909431,1.66694831,736.46,0.07,0.09,108.35,7.24,13.38,11.3775,101260.18,76.4744,10958.9,1.3359,8.4,0.0089,7.9,105682.63,792619.74,29017164.09,18965785.06,2310873.94,3.2,57.5487,2.5645,0.0429,0.032608,12,3.2,4,94.42,7700,23,10.96,16,8900,461416,1056550,53490,25894,34491,16133240,17347540,12945065,1272055,143477480,3203530,4299171
21,4737.600915,General,FL_SAL_Cedar Keys-Lawson1,S_FL_Cedar Keys-Lawson,2,15,2,FL,27.84,-81.232,37.5,300,3550,79.79,0.54437098,0.4,76.05,5666,865.83,0.54437098,0.40498854,669.72,0.05,0.25,154.48,12.7,21.95,19.9475,77795.16,102.0149,10958.9,0.31602795,3.75,0.0039,3.6,79010.92,592581.91,11947570.24,8078500.14,4051497.39,3.2,68.1756,4.5135,0.0755,0.032608,20,3.2,15,104.55,3400,40,11.54,24,3900,666864,1860650,37990,34286,171261,6198360,25988197,17812080,2218175,178469227,1156986,3300905
