KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N
89,1007052,25.8739,-80.3756,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.75361492,2206.229308,1461537.7,1,1,1,1,1,0.45,0,0.5,0,0,0.03,0,0,0.03,1990.909091,65.4973813,64.4087298,272487.6189,7179.519576,3664.529186,99.46294433,2.729112008,0
90,1007552,41.005565,-96.154917,NE,Midwest,"""West North Central""",4,3,9,Dry,1,0.758296363,2064.099164,225050,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,342.4363636,27.16943196,27.25256608,982495.5735,25886.85032,13213.0176,278.0275068,7.01784317,0
91,1007552,41.005565,-96.154917,NE,Midwest,"""West North Central""",4,3,9,Dry,1,0.758296363,1989.752524,370318,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,605.2363636,48.02039138,48.1673261,555885.6535,14646.50742,7475.786274,157.3050367,3.970621794,0
92,1006077,41.45906,-90.695252,IA,Midwest,"""West North Central""",4,3,7,Dry,1,0.799802894,2398.901568,784662,1,1,1,1,1,0.92,0,0,0,0.03,0.03,0,0,0.03,1054.16098,66.60355504,65.66540573,391578.3965,10317.33029,5266.112524,121.3832931,3.330573059,0
93,1007663,29.675,-98.182778,TX,South,"""West South Central""",7,2,18,Dry,1,0.773716625,1781.910822,629547.7,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,1059.163636,25.69290528,24.57053807,565403.7763,14897.29147,7603.790031,225.1492752,5.683115033,0
94,1007663,29.675,-98.182778,TX,South,"""West South Central""",7,2,18,Dry,1,0.773716625,2528.189964,971430.8,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,1234.363636,29.94285953,28.6348376,485152.9177,12782.8372,6524.542414,193.1926039,4.876479351,0
95,1005742,40.472471,-75.895245,PA,Northeast,"""Middle Atlantic""",2,1,3,0,0,0.721666667,1337.201389,198039,1,1,1,1,0,0,0,0,0,0,0,0,0,0,716.7272727,44.42976185,45.47472248,382077.6034,10067.00284,5138.341825,92.56724956,2.539904625,0
96,1005742,40.472471,-75.895245,PA,Northeast,"""Middle Atlantic""",2,1,3,0,0,0.721666667,1429.861407,285986,1,1,1,1,0,0,0,0,0,0,0,0,0,0,716.7272727,44.42976185,45.47472248,382077.6034,10067.00284,5138.341825,92.56724956,2.539904625,0
97,1006234,33.5401,-86.5435,AL,South,"""East South Central""",6,2,17,Dry,1,0.724360984,2211.938811,538163,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,774.1325758,72.25220716,72.08259403,398916.4785,10510.6745,5364.798167,103.893317,2.850674699,0
98,1006112,37.2676,-89.5385,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.797733969,1434.476241,765993.4,1,1,1,1,1,0.03,0,0,0,0,0.5,0,0.03,0.45,1742.347107,70.84228484,70.48084253,244356.5739,6438.321171,3286.210949,77.16318604,2.117240536,0
99,1007621,29.79992,-98.03647,TX,South,"""West South Central""",7,2,18,Dry,1,0.758492686,1902.485569,809778,1,1,1,1,1,0.02,0.92,0.02,0,0.02,0,0,0,0.02,1294.708838,33.7411536,32.35340594,444125.9082,11701.85517,5972.793771,172.6640911,4.358308021,0
100,1007621,29.79992,-98.03647,TX,South,"""West South Central""",7,2,18,Dry,1,0.758492686,1237.335104,342179,1,1,1,1,1,0.02,0.92,0.02,0,0.02,0,0,0,0.02,870.9163433,22.69678035,21.76327925,660239.9221,17396.03974,8879.186783,256.6833503,6.479083735,0
101,1005978,41.26109,-105.60319,WY,West,"""Mountain""",8,5,19,Dry,1,0.827709563,2207.357511,148335.5,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,230.9454545,23.58708831,23.62686753,1310864.422,34538.73177,17629.06128,337.3451184,9.256237284,0
102,1005978,41.26109,-105.60319,WY,West,"""Mountain""",8,5,19,Dry,2,0.827709563,2362.965365,367170.4,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,497.7272727,50.83424204,50.91997314,608241.0917,16025.97154,8179.884436,156.528135,4.2948941,0
103,1007606,33.6936,-94.4166,AR,South,"""West South Central""",7,3,18,Dry,3,0.787653717,1995.75257,912944,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,1466.43156,71.7411416,71.50199466,287816.283,7583.400106,3870.675568,90.41422768,2.480828977,0
104,1006212,39.7779,-83.9661,OH,Midwest,"""East North Central""",3,1,4,0,0,0.774125512,148.3299443,33043,1,1,0,1,1,0.93,0.03,0,0,0.03,0,0,0,0,716.0132212,40.04932963,40.49830371,442187.6145,11650.7849,5946.726774,116.9021034,3.207616025,0
105,1006212,39.7779,-83.9661,OH,Midwest,"""East North Central""",3,1,4,Dry,2,0.774125512,2093.623542,466390,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,716.0132212,40.04932963,40.49830371,442187.6145,11650.7849,5946.726774,116.9021034,3.207616025,0
106,1007216,36.1941,-95.8117,OK,South,"""West South Central""",7,3,18,Dry,1,0.751584915,2182.864346,218774,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,307.0029291,37.48358435,37.43544564,961475.8114,25333.02041,12930.33492,251.6936965,6.353137175,0
107,1007216,36.1941,-95.8117,OK,South,"""West South Central""",7,3,18,Dry,1,0.751584915,2309.830951,215458,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,289.3478086,35.32797886,35.28260851,1020142.132,26878.76403,13719.3045,267.051278,6.740786223,0
108,1006642,34.819863,-118.748732,CA,West,"""Pacific""",9,6,23,Dry,1,0.719027611,2127.53395,806771,1,1,1,1,1,0,0.03,0.03,0.45,0,0,0,0.5,0,1116.870043,83.59970563,84.97399414,384996.6176,10143.9132,5177.597967,126.030414,3.18120207,0
109,1006659,33.1043,-86.7985,AL,South,"""East South Central""",6,2,17,0,0,0.878069234,52.26469151,26228.5,1,1,0,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,1815.709091,31.57272009,30.86839583,244633.1443,6445.608265,3289.930386,79.23537724,2.174098313,0
110,1006659,33.1043,-86.7985,AL,South,"""East South Central""",6,2,17,Dry,1,0.878069234,1845.851202,952772.1,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,1815.709091,31.57272009,30.86839583,244633.1443,6445.608265,3289.930386,79.23537724,2.174098313,0
111,1006669,32.4097,-111.1513,AZ,West,"""Mountain""",8,5,21,Dry,1,0.775149623,1188.943733,890860.3,1,1,1,1,1,0.01,0.91,0.01,0.01,0,0,0.01,0.01,0.01,2389.090909,67.70898967,66.921242,174596.8855,4600.288859,2348.053043,56.13508022,1.416936022,0
112,1006363,31.745833,-102.546661,TX,South,"""West South Central""",7,4,18,Dry,2,0.807741384,2416.33792,170862.4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,260.4109091,52.21493527,53.75100161,633440.9928,16689.93999,8518.783405,117.0997615,2.955778626,0
113,1006363,31.745833,-102.546661,TX,South,"""West South Central""",7,4,18,Dry,1,0.807741384,2892.924819,178790.6,1,1,1,1,1,0,1,0,0,0,0,0,0,0,207.2711673,41.55989709,42.78251201,795841.2497,20968.87137,10702.81101,147.1215498,3.713574874,0
114,1006136,40.734521,-86.433441,IN,Midwest,"""East North Central""",3,1,6,0,0,0.783231654,571.3456557,58811,1,1,0,1,1,0.93,0,0,0,0,0.03,0,0,0.03,334.4727273,41.97065611,42.68103927,761981.8543,20076.74206,10247.45548,176.7902015,4.850854408,0
115,1006136,40.734521,-86.433441,IN,Midwest,"""East North Central""",3,1,6,Wet,4,0.783231654,2234.547896,248690,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,334.4727273,41.97065611,42.68103927,761981.8543,20076.74206,10247.45548,176.7902015,4.850854408,0
116,1006738,41.329483,-89.081612,IL,Midwest,"""""East North Central""""",3,1,5,Dry,3,0.617,1987.909685,650727.5,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,980.840029,135.7390308,138.440614,118575.4618,6340.079883,9264.492928,90.90500445,2.442421053,0
117,1003891,38.739074,-86.45703,IN,Midwest,"""East North Central""",3,1,6,Dry,2,0.721666667,1987.909685,421466,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,980.840029,53.216931,54.27337816,243275.5861,6409.839243,3271.673367,54.24588169,1.48842454,0
118,1003891,38.739074,-86.45703,IN,Midwest,"""East North Central""",3,1,6,Dry,2,0.721666667,1791.287626,107140.5745,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,302.6181818,16.41899844,16.74494366,788499.9886,20775.4434,10604.08261,175.8206723,4.824251999,0
119,1003891,38.739074,-86.45703,IN,Midwest,"""East North Central""",3,1,6,Dry,2,0.721666667,1636.898055,97906.21867,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,302.6181818,16.41899844,16.74494366,788499.9886,20775.4434,10604.08261,175.8206723,4.824251999,0
120,1004289,36.271838,-95.222539,OK,South,"""West South Central""",7,3,18,0,0,0.721666667,2045.449351,122342.5068,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,302.6181818,38.47377503,39.39020275,609798.0769,16066.99507,8200.823434,120.5715928,3.043413003,0
121,1004289,36.271838,-95.222539,OK,South,"""West South Central""",7,3,18,Dry,1,0.721666667,229.2388061,7020.942865,1,1,0,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,199.0909091,25.3116941,25.91460707,926893.0769,24421.83251,12465.25162,183.2688211,4.625987765,0
122,1004289,36.271838,-95.222539,OK,South,"""West South Central""",7,3,18,Dry,1,0.721666667,1808.380528,55385.63293,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,199.0909091,25.3116941,25.91460707,926893.0769,24421.83251,12465.25162,183.2688211,4.625987765,0
123,1006110,32.25,-100.458333,TX,South,"""West South Central""",7,4,18,Wet,4,0.721666667,1739.534689,85243.3242,1,1,1,1,1,0,0.05,0,0.95,0,0,0,0,0,318.5454545,72.8885084,72.80546823,925722.8192,24390.9985,12449.5135,242.1919484,6.113298396,0
124,1004174,39.62,-119.2628,NV,West,"""Mountain""",8,5,20,Dry,1,0.721666667,3686.917301,457863.9,1,1,1,1,1,0.94,0.06,0,0,0,0,0,0,0,528.0113635,69.32112115,72.13859231,306890.3648,8085.965119,4127.191919,56.12926592,1.41678926,0
125,1004174,39.62,-119.2628,NV,West,"""Mountain""",8,5,20,Dry,1,0.721666667,1794.50451,85026.26099,1,1,1,1,1,0.94,0.06,0,0,0,0,0,0,0,270.2976871,35.48662019,36.92892994,599493.106,15795.4791,8062.23781,109.6453712,2.767618313,0
126,1000247,35.101197,-85.345342,TN,South,"""East South Central""",6,1,16,Dry,3,0.721666667,1873.123389,88751.33901,1,1,1,1,1,0.02,0,0.02,0.92,0,0.02,0,0,0.02,270.2976871,77.95504769,78.56134344,991889.5281,26134.36278,13339.35149,237.2627479,6.510129162,0
127,1007985,33.733584,-86.155217,AL,South,"""East South Central""",6,2,17,Dry,1,0.721666667,2001.277961,435846.1,1,1,1,1,1,0.02,0.02,0.44,0,0,0,0.5,0,0.02,1028.636364,64.03853778,62.75140105,415116.4995,10937.51359,5582.662926,131.3162709,3.603118873,0
