KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N
28,1004131,41.0633,-111.5317,UT,West,"""Mountain""",8,5,20,Dry,1,0.760461518,2771.243617,684487,1,1,1,1,1,0.45,0.03,0.5,0,0,0,0,0,0.03,768.0165288,74.32039386,74.43217111,495654.086,13059.52259,6665.766583,150.9412306,3.809989511,0
29,1004899,41.861,-89.4548,IL,Midwest,"""East North Central""",3,1,5,0,0,0.617,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,522.2151314,155.3150584,158.4062589,163352.3071,8734.241135,12762.98039,104.2225087,2.800233618,0
30,1000533,29.9616,-82.8497,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.714207216,1798.197114,601953,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,955.6363636,77.63983737,78.20324669,337215.7015,8884.978848,4535.019921,90.10201862,2.472262435,0
31,1005987,39.67913,-91.31424,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.782499466,1629.961186,763006.9,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,1161.363636,75.96788679,76.30381626,297373.9443,7835.22592,3999.211056,82.83065931,2.272747388,0
32,1006842,35.029298,-118.316236,CA,West,"""Pacific""",9,6,23,Dry,1,0.680845457,2114.426581,1120360.8,1,1,1,1,1,0.03,0.03,0,0.92,0,0.03,0,0,0,1486.637279,79.48717472,80.30192641,347069.105,9144.596896,4667.532676,126.562166,3.19462431,0
33,1007566,39.434879,-77.977911,WV,South,"""South Atlantic""",5,1,11,Dry,1,0.847585129,1720.358145,1022659,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,1920.041322,59.79591952,57.93154673,221392.8585,5833.271867,2977.385155,69.84572021,1.916460397,0
34,1000198,39.94778,-76.76918,PA,Northeast,"""Middle Atlantic""",2,1,3,Wet,4,0.759180617,2351.159208,95070,1,1,1,1,1,0,1,0,0,0,0,0,0,0,121.9282881,133.0853972,141.1925388,788569.1034,20777.26444,10605.0121,101.3483354,2.780844273,0
35,1000243,37.216805,-88.879849,IL,Midwest,"""East North Central""",3,1,5,0,0,0.8774118,0,0,0,1,0,1,1,0.93,0.03,0,0,0.03,0,0,0,0,451.9377328,37.26493207,38.01242324,524591.2306,13821.96015,7054.925589,116.5205353,3.197146378,0
36,1000243,37.216805,-88.879849,IL,Midwest,"""East North Central""",3,1,5,Dry,1,0.8774118,1926.801885,318643,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,593.5737208,48.94365481,49.92540755,399415.5454,10523.82394,5371.50983,88.71691033,2.434257169,0
37,1000290,43.3064,-73.6208,NY,Northeast,"""Middle Atlantic""",2,1,2,Dry,1,0.721666667,1831.116316,242199,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,633.5777785,103.4714745,107.5494475,254925.6989,6716.79709,3428.34903,44.89993786,1.231986047,0
38,1002308,34.6222,-117.1001,CA,West,"""Pacific""",9,6,23,Dry,3,0.81165757,2263.65824,1243273,1,1,1,1,1,0.02,0.02,0.02,0.02,0,0,0.43,0.5,0,1831.636364,44.81450452,44.712351,410779.6497,10823.24602,5524.33913,187.1263322,4.723357296,0
39,1002308,34.6222,-117.1001,CA,West,"""Pacific""",9,6,23,Dry,3,0.81165757,2256.521444,753945,1,1,1,1,1,0.02,0.02,0.02,0.02,0,0,0.43,0.5,0,1122.872727,27.47323973,27.41061518,670066.0953,17654.94032,9011.333332,305.2415348,7.70476722,0
40,1004385,39.144325,-94.416723,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.730957585,2313.343077,769082,1,1,1,1,1,0.44,0.02,0.5,0,0.02,0,0,0,0.02,980.840029,72.53467902,72.40349804,403874.1795,10641.30029,5431.471434,122.1437375,3.351438498,0
41,1002787,39.560284,-77.171425,MD,South,"""South Atlantic""",5,1,13,Dry,3,0.755948394,2579.834407,1836033,1,1,1,1,1,0.47,0,0,0,0,0.03,0.5,0,0,2171.579824,67.65667091,66.86180492,333913.6387,8797.975906,4490.612379,144.8927473,3.975636748,0
42,1005302,39.616615,-86.868632,IN,Midwest,"""East North Central""",3,1,6,0,0,0.789777059,2626.341165,1045986,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1296.027892,67.92173878,67.16293702,362237.1325,9544.244964,4871.51875,121.2786062,3.327700611,0
43,1003770,33.242778,-80.442222,SC,South,"""South Atlantic""",5,1,12,Dry,1,0.915238363,1314.469663,308252.1,1,1,1,1,1,0.03,0.93,0,0,0,0,0,0,0.03,864.0185949,73.63243222,73.65060777,361103.1379,9514.366408,4856.268308,94.62726021,2.596428186,0
44,1005458,29.690671,-82.582134,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.917962713,1753.552706,530079,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,995.4545455,40.33323941,40.16046392,416987.4542,10986.80961,5607.82432,129.6916936,3.558542942,0
45,1005458,29.690671,-82.582134,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.917962713,1962.899615,395982,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,763.1818182,30.92215021,30.78968901,543896.6794,14330.62123,7314.55346,169.1630787,4.64157775,0
46,1002102,30.0536,-97.8572,TX,South,"""West South Central""",7,2,18,Dry,3,0.72355594,2370.048126,1030525,1,1,1,1,1,0.02,0.02,0.02,0.43,0,0,0.5,0,0.02,1275.092038,59.85828578,58.00239833,383193.2403,10096.39771,5153.345384,135.3032163,3.415261904,0
47,1003883,28.760864,-82.025353,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.90913204,1455.171494,503212.4,1,1,1,1,1,0.56,0.02,0.36,0,0,0.02,0,0,0.03,1078.409091,78.27166199,78.92103519,292017.5742,7694.095971,3927.176317,76.95224232,2.111452561,0
48,1005331,32.4152,-83.6333,GA,South,"""South Atlantic""",5,1,14,Dry,3,0.854756528,1410.424802,506383.9,1,1,1,1,1,0.02,0.92,0.02,0,0,0,0.02,0.02,0,1274.181818,77.63744242,78.20052589,213424.9784,5623.333701,2870.229721,51.49053546,1.412822027,0
49,1002204,34.76754,-96.69652,OK,South,"""West South Central""",7,3,18,Dry,1,0.975096688,2695.356503,443214,1,1,1,1,1,0.47,0.03,0.5,0,0,0,0,0,0,654.7340908,76.81593542,77.26724747,396443.7397,10445.52263,5331.543726,96.12355516,2.426306817,0
