Year,FixedAdjC,VarAdjC,FixedAdjT,VarAdjT,FixedAdjS,VarAdjS,HRAdj,PlantType
2024,1,1,1,1,1,1,1,4
2025,1,1,1,1,1,1,1,4
2026,1,1,1,1,1,1,1,4
2027,1,1,1,1,1,1,1,4
2028,1,1,1,1,1,1,1,4
2029,1,1,1,1,1,1,1,4
2030,1,1,1,1,1,1,1,4
2031,1,1,1,1,1,1,1,4
2032,1,1,1,1,1,1,1,4
2033,1,1,1,1,1,1,1,4
2034,1,1,1,1,1,1,1,4
2035,1,1,1,1,1,1,1,4
2036,1,1,1,1,1,1,1,4
2037,1,1,1,1,1,1,1,4
2038,1,1,1,1,1,1,1,4
2039,1,1,1,1,1,1,1,4
2040,1,1,1,1,1,1,1,4
2041,1,1,1,1,1,1,1,4
2042,1,1,1,1,1,1,1,4
2043,1,1,1,1,1,1,1,4
2044,1,1,1,1,1,1,1,4
2045,1,1,1,1,1,1,1,4
2046,1,1,1,1,1,1,1,4
2047,1,1,1,1,1,1,1,4
2048,1,1,1,1,1,1,1,4
2049,1,1,1,1,1,1,1,4
2050,1,1,1,1,1,1,1,4
