TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
SMR,4,15,5,0,0.1
SMR,4,16,5,0,0.1
SMR,4,17,5,0,0.1
SMR,4,18,5,0,0.1
SMR,4,19,5,0,0.1
SMR,4,20,5,0,0.1
SMR,4,21,5,0,0.1
SMR,4,22,5,0,0.1
SMR,4,23,5,0,0.1
SMR,4,24,5,0,0.1
SMR,4,25,5,0,0.1
SMR,4,26,5,0,0.1
SMR,4,27,5,0,0.1
SMR,4,28,5,0,0.1
SMR,4,29,5,0,0.1
SMR,4,30,5,0,0.1
SMR,4,31,5,0,0.1
SMR,4,32,5,0,0.1
SMR,4,33,5,0,0.1
SMR,4,34,5,0,0.1
SMR,4,35,5,0,0.1
SMR,4,36,5,0,0.1
SMR,4,37,5,0,0.1
SMR,4,38,5,0,0.1
SMR,4,39,5,0,0.1
SMR,4,40,5,0,0.1
SMR,4,41,5,0,0.1
SMR,4,42,5,0,0.1
SMR,4,43,5,0,0.1
SMR,4,44,5,0,0.1
SMR,4,45,5,0,0.1
SMR,4,46,5,0,0.1
SMR,4,47,5,0,0.1
SMR,4,48,5,0,0.1
SMR,4,49,5,0,0.1
SMR,4,50,5,0,0.1
SMR,4,51,5,0,0.1
SMR,4,52,5,0,0.1
SMR,4,53,5,0,0.1
SMR,4,54,5,0,0.1
SMR,4,55,5,0,0.1
SMR,4,56,5,0,0.1
SMR,4,57,5,0,0.1
SMR,4,58,5,0,0.1
SMR,4,59,5,0,0.1
SMR,4,60,5,0,0.1
SMR,4,61,5,0,0.1
SMR,5,1,5,0,0.1
SMR,5,2,5,0,0.1
SMR,5,3,5,0,0.1
SMR,5,4,5,0,0.1
SMR,5,5,5,0,0.1
SMR,5,6,5,0,0.1
SMR,5,7,5,0,0.1
SMR,5,8,5,0,0.1
SMR,5,9,5,0,0.1
SMR,5,10,5,0,0.1
SMR,5,11,5,0,0.1
SMR,5,12,5,0,0.1
SMR,5,13,5,0,0.1
SMR,5,14,5,0,0.1
SMR,5,15,5,0,0.1
SMR,5,16,5,0,0.1
SMR,5,17,5,0,0.1
SMR,5,18,5,0,0.1
SMR,5,19,5,0,0.1
SMR,5,20,5,0,0.1
SMR,5,21,5,0,0.1
SMR,5,22,5,0,0.1
SMR,5,23,5,0,0.1
SMR,5,24,5,0,0.1
SMR,5,25,5,0,0.1
SMR,5,26,5,0,0.1
SMR,5,27,5,0,0.1
SMR,5,28,5,0,0.1
SMR,5,29,5,0,0.1
SMR,5,30,5,0,0.1
SMR,5,31,5,0,0.1
SMR,5,32,5,0,0.1
SMR,5,33,5,0,0.1
SMR,5,34,5,0,0.1
SMR,5,35,5,0,0.1
SMR,5,36,5,0,0.1
SMR,5,37,5,0,0.1
SMR,5,38,5,0,0.1
SMR,5,39,5,0,0.1
SMR,5,40,5,0,0.1
SMR,5,41,5,0,0.1
SMR,5,42,5,0,0.1
SMR,5,43,5,0,0.1
SMR,5,44,5,0,0.1
SMR,5,45,5,0,0.1
SMR,5,46,5,0,0.1
SMR,5,47,5,0,0.1
SMR,5,48,5,0,0.1
SMR,5,49,5,0,0.1
SMR,5,50,5,0,0.1
SMR,5,51,5,0,0.1
SMR,5,52,5,0,0.1
SMR,5,53,5,0,0.1
SMR,5,54,5,0,0.1
SMR,5,55,5,0,0.1
SMR,5,56,5,0,0.1
SMR,5,57,5,0,0.1
SMR,5,58,5,0,0.1
SMR,5,59,5,0,0.1
SMR,5,60,5,0,0.1
SMR,5,61,5,0,0.1
SMR,6,1,5,0,0.1
SMR,6,2,5,0,0.1
SMR,6,3,5,0,0.1
SMR,6,4,5,0,0.1
SMR,6,5,5,0,0.1
SMR,6,6,5,0,0.1
SMR,6,7,5,0,0.1
SMR,6,8,5,0,0.1
SMR,6,9,5,0,0.1
SMR,6,10,5,0,0.1
SMR,6,11,5,0,0.1
SMR,6,12,5,0,0.1
SMR,6,13,5,0,0.1
SMR,6,14,5,0,0.1
SMR,6,15,5,0,0.1
SMR,6,16,5,0,0.1
SMR,6,17,5,0,0.1
SMR,6,18,5,0,0.1
SMR,6,19,5,0,0.1
SMR,6,20,5,0,0.1
SMR,6,21,5,0,0.1
SMR,6,22,5,0,0.1
SMR,6,23,5,0,0.1
SMR,6,24,5,0,0.1
SMR,6,25,5,0,0.1
SMR,6,26,5,0,0.1
SMR,6,27,5,0,0.1
SMR,6,28,5,0,0.1
SMR,6,29,5,0,0.1
SMR,6,30,5,0,0.1
SMR,6,31,5,0,0.1
SMR,6,32,5,0,0.1
SMR,6,33,5,0,0.1
SMR,6,34,5,0,0.1
SMR,6,35,5,0,0.1
SMR,6,36,5,0,0.1
SMR,6,37,5,0,0.1
SMR,6,38,5,0,0.1
SMR,6,39,5,0,0.1
SMR,6,40,5,0,0.1
SMR,6,41,5,0,0.1
SMR,6,42,5,0,0.1
SMR,6,43,5,0,0.1
SMR,6,44,5,0,0.1
SMR,6,45,5,0,0.1
SMR,6,46,5,0,0.1
SMR,6,47,5,0,0.1
SMR,6,48,5,0,0.1
SMR,6,49,5,0,0.1
SMR,6,50,5,0,0.1
SMR,6,51,5,0,0.1
SMR,6,52,5,0,0.1
SMR,6,53,5,0,0.1
SMR,6,54,5,0,0.1
SMR,6,55,5,0,0.1
SMR,6,56,5,0,0.1
SMR,6,57,5,0,0.1
SMR,6,58,5,0,0.1
SMR,6,59,5,0,0.1
SMR,6,60,5,0,0.1
SMR,6,61,5,0,0.1
SMR,7,1,60,0,0.1
SMR,7,2,60,0,0.1
SMR,7,3,60,0,0.1
SMR,7,4,60,0,0.1
SMR,7,5,60,0,0.1
SMR,7,6,60,0,0.1
SMR,7,7,60,0,0.1
SMR,7,8,60,0,0.1
SMR,7,9,60,0,0.1
SMR,7,10,60,0,0.1
SMR,7,11,60,0,0.1
SMR,7,12,60,0,0.1
SMR,7,13,60,0,0.1
SMR,7,14,60,0,0.1
SMR,7,15,60,0,0.1
SMR,7,16,60,0,0.1
SMR,7,17,60,0,0.1
SMR,7,18,60,0,0.1
SMR,7,19,60,0,0.1
SMR,7,20,60,0,0.1
SMR,7,21,60,0,0.1
SMR,7,22,60,0,0.1
SMR,7,23,60,0,0.1
SMR,7,24,60,0,0.1
SMR,7,25,60,0,0.1
SMR,7,26,60,0,0.1
SMR,7,27,60,0,0.1
SMR,7,28,60,0,0.1
SMR,7,29,60,0,0.1
SMR,7,30,60,0,0.1
SMR,7,31,60,0,0.1
