Policy,Tech,MNUMYR,Value
PTC,SMR,42,0.483091787
PTC,SMR,43,0.483091787
PTC,SMR,44,0.483091787
PTC,SMR,45,0.483091787
PTC,SMR,46,0.483091787
PTC,SMR,47,0.483091787
PTC,SMR,48,0.483091787
PTC,SMR,49,0.483091787
PTC,SMR,50,0.483091787
PTC,SMR,51,0.483091787
PTC,SMR,52,0.483091787
PTC,SMR,53,0.483091787
PTC,SMR,54,0.483091787
PTC,SMR,55,0.483091787
PTC,SMR,56,0.483091787
PTC,SMR,57,0.483091787
PTC,SMR,58,0.483091787
PTC,SMR,59,0.483091787
PTC,SMR,60,0.483091787
ITC,SMR,1,0
ITC,SMR,2,0
ITC,SMR,3,0
ITC,SMR,4,0
ITC,SMR,5,0
ITC,SMR,6,0
ITC,SMR,7,0
ITC,SMR,8,0
ITC,SMR,9,0
ITC,SMR,10,0
ITC,SMR,11,0
ITC,SMR,12,0
ITC,SMR,13,0
ITC,SMR,14,0
ITC,SMR,15,0
ITC,SMR,16,0
ITC,SMR,17,0
ITC,SMR,18,0
ITC,SMR,19,0
ITC,SMR,20,0
ITC,SMR,21,0
ITC,SMR,22,0
ITC,SMR,23,0
ITC,SMR,24,0.483091787
ITC,SMR,25,0.483091787
ITC,SMR,26,0.483091787
ITC,SMR,27,0.483091787
ITC,SMR,28,0.483091787
ITC,SMR,29,0.483091787
ITC,SMR,30,0.483091787
ITC,SMR,31,0.483091787
ITC,SMR,32,0.483091787
ITC,SMR,33,0.483091787
ITC,SMR,34,0.483091787
ITC,SMR,35,0.483091787
ITC,SMR,36,0.483091787
ITC,SMR,37,0.483091787
ITC,SMR,38,0.483091787
ITC,SMR,39,0.483091787
ITC,SMR,40,0.483091787
ITC,SMR,41,0.483091787
ITC,SMR,42,0.483091787
ITC,SMR,43,0.483091787
ITC,SMR,44,0.483091787
ITC,SMR,45,0.483091787
ITC,SMR,46,0.483091787
ITC,SMR,47,0.483091787
ITC,SMR,48,0.483091787
ITC,SMR,49,0.483091787
ITC,SMR,50,0.483091787
ITC,SMR,51,0.483091787
ITC,SMR,52,0.483091787
ITC,SMR,53,0.483091787
ITC,SMR,54,0.483091787
ITC,SMR,55,0.483091787
ITC,SMR,56,0.483091787
ITC,SMR,57,0.483091787
ITC,SMR,58,0.483091787
ITC,SMR,59,0.483091787
ITC,SMR,60,0.483091787
LCA_TECH,SMR,1,0
LCA_TECH,SMR,2,0
LCA_TECH,SMR,3,0
LCA_TECH,SMR,4,0
LCA_TECH,SMR,5,0
LCA_TECH,SMR,6,0
LCA_TECH,SMR,7,0
LCA_TECH,SMR,8,0
LCA_TECH,SMR,9,0
LCA_TECH,SMR,10,0
LCA_TECH,SMR,11,0
LCA_TECH,SMR,12,0
LCA_TECH,SMR,13,0
LCA_TECH,SMR,14,0
LCA_TECH,SMR,15,0
LCA_TECH,SMR,16,0
LCA_TECH,SMR,17,0
LCA_TECH,SMR,18,0
LCA_TECH,SMR,19,0
LCA_TECH,SMR,20,0
LCA_TECH,SMR,21,0
LCA_TECH,SMR,22,0
LCA_TECH,SMR,23,0
LCA_TECH,SMR,24,5
LCA_TECH,SMR,25,5
LCA_TECH,SMR,26,5
LCA_TECH,SMR,27,5
LCA_TECH,SMR,28,5
LCA_TECH,SMR,29,5
LCA_TECH,SMR,30,5
LCA_TECH,SMR,31,5
LCA_TECH,SMR,32,5
LCA_TECH,SMR,33,5
LCA_TECH,SMR,34,5
LCA_TECH,SMR,35,5
LCA_TECH,SMR,36,5
LCA_TECH,SMR,37,5
LCA_TECH,SMR,38,5
LCA_TECH,SMR,39,5
LCA_TECH,SMR,40,5
LCA_TECH,SMR,41,5
LCA_TECH,SMR,42,5
LCA_TECH,SMR,43,5
LCA_TECH,SMR,44,5
LCA_TECH,SMR,45,5
LCA_TECH,SMR,46,5
LCA_TECH,SMR,47,5
LCA_TECH,SMR,48,5
LCA_TECH,SMR,49,5
LCA_TECH,SMR,50,5
LCA_TECH,SMR,51,5
LCA_TECH,SMR,52,5
LCA_TECH,SMR,53,5
LCA_TECH,SMR,54,5
LCA_TECH,SMR,55,5
LCA_TECH,SMR,56,5
LCA_TECH,SMR,57,5
LCA_TECH,SMR,58,5
LCA_TECH,SMR,59,5
LCA_TECH,SMR,60,5
LCA_TECH,SMR,61,5
LCA_TECH,SMR_ADV,1,0
LCA_TECH,SMR_ADV,2,0
LCA_TECH,SMR_ADV,3,0
LCA_TECH,SMR_ADV,4,0
LCA_TECH,SMR_ADV,5,0
LCA_TECH,SMR_ADV,6,0
LCA_TECH,SMR_ADV,7,0
LCA_TECH,SMR_ADV,8,0
LCA_TECH,SMR_ADV,9,0
LCA_TECH,SMR_ADV,10,0
LCA_TECH,SMR_ADV,11,0
LCA_TECH,SMR_ADV,12,0
LCA_TECH,SMR_ADV,13,0
LCA_TECH,SMR_ADV,14,0
LCA_TECH,SMR_ADV,15,0
LCA_TECH,SMR_ADV,16,0
LCA_TECH,SMR_ADV,17,0
