TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
Saline Cavern,3,22,100,0.2,0.1
Saline Cavern,3,23,100,0.2,0.1
Saline Cavern,3,24,100,0.2,0.1
Saline Cavern,3,25,100,0.2,0.1
Saline Cavern,3,26,100,0.2,0.1
Saline Cavern,3,27,100,0.2,0.1
Saline Cavern,3,28,100,0.2,0.1
Saline Cavern,3,29,100,0.2,0.1
Saline Cavern,3,30,100,0.2,0.1
Saline Cavern,3,31,100,0.2,0.1
Saline Cavern,3,32,100,0.2,0.1
Saline Cavern,3,33,100,0.2,0.1
Saline Cavern,3,34,100,0.2,0.1
Saline Cavern,3,35,100,0.2,0.1
Saline Cavern,3,36,100,0.2,0.1
Saline Cavern,3,37,100,0.2,0.1
Saline Cavern,3,38,100,0.2,0.1
Saline Cavern,3,39,100,0.2,0.1
Saline Cavern,3,40,100,0.2,0.1
Saline Cavern,3,41,100,0.2,0.1
Saline Cavern,3,42,100,0.2,0.1
Saline Cavern,3,43,100,0.2,0.1
Saline Cavern,3,44,100,0.2,0.1
Saline Cavern,3,45,100,0.2,0.1
Saline Cavern,3,46,100,0.2,0.1
Saline Cavern,3,47,100,0.2,0.1
Saline Cavern,3,48,100,0.2,0.1
Saline Cavern,3,49,100,0.2,0.1
Saline Cavern,3,50,100,0.2,0.1
Saline Cavern,3,51,100,0.2,0.1
Saline Cavern,3,52,100,0.2,0.1
Saline Cavern,3,53,100,0.2,0.1
Saline Cavern,3,54,100,0.2,0.1
Saline Cavern,3,55,100,0.2,0.1
Saline Cavern,3,56,100,0.2,0.1
Saline Cavern,3,57,100,0.2,0.1
Saline Cavern,3,58,100,0.2,0.1
Saline Cavern,3,59,100,0.2,0.1
Saline Cavern,3,60,100,0.2,0.1
Saline Cavern,3,61,100,0.2,0.1
Saline Cavern,4,1,100,0.2,0.1
Saline Cavern,4,2,100,0.2,0.1
Saline Cavern,4,3,100,0.2,0.1
Saline Cavern,4,4,100,0.2,0.1
Saline Cavern,4,5,100,0.2,0.1
Saline Cavern,4,6,100,0.2,0.1
Saline Cavern,4,7,100,0.2,0.1
Saline Cavern,4,8,100,0.2,0.1
Saline Cavern,4,9,100,0.2,0.1
Saline Cavern,4,10,100,0.2,0.1
Saline Cavern,4,11,100,0.2,0.1
Saline Cavern,4,12,100,0.2,0.1
Saline Cavern,4,13,100,0.2,0.1
Saline Cavern,4,14,100,0.2,0.1
Saline Cavern,4,15,100,0.2,0.1
Saline Cavern,4,16,100,0.2,0.1
Saline Cavern,4,17,100,0.2,0.1
Saline Cavern,4,18,100,0.2,0.1
Saline Cavern,4,19,100,0.2,0.1
Saline Cavern,4,20,100,0.2,0.1
Saline Cavern,4,21,100,0.2,0.1
Saline Cavern,4,22,100,0.2,0.1
Saline Cavern,4,23,100,0.2,0.1
Saline Cavern,4,24,100,0.2,0.1
Saline Cavern,4,25,100,0.2,0.1
Saline Cavern,4,26,100,0.2,0.1
Saline Cavern,4,27,100,0.2,0.1
Saline Cavern,4,28,100,0.2,0.1
Saline Cavern,4,29,100,0.2,0.1
Saline Cavern,4,30,100,0.2,0.1
Saline Cavern,4,31,100,0.2,0.1
Saline Cavern,4,32,100,0.2,0.1
Saline Cavern,4,33,100,0.2,0.1
Saline Cavern,4,34,100,0.2,0.1
Saline Cavern,4,35,100,0.2,0.1
Saline Cavern,4,36,100,0.2,0.1
Saline Cavern,4,37,100,0.2,0.1
Saline Cavern,4,38,100,0.2,0.1
Saline Cavern,4,39,100,0.2,0.1
Saline Cavern,4,40,100,0.2,0.1
Saline Cavern,4,41,100,0.2,0.1
Saline Cavern,4,42,100,0.2,0.1
Saline Cavern,4,43,100,0.2,0.1
Saline Cavern,4,44,100,0.2,0.1
Saline Cavern,4,45,100,0.2,0.1
Saline Cavern,4,46,100,0.2,0.1
Saline Cavern,4,47,100,0.2,0.1
Saline Cavern,4,48,100,0.2,0.1
Saline Cavern,4,49,100,0.2,0.1
Saline Cavern,4,50,100,0.2,0.1
Saline Cavern,4,51,100,0.2,0.1
Saline Cavern,4,52,100,0.2,0.1
Saline Cavern,4,53,100,0.2,0.1
Saline Cavern,4,54,100,0.2,0.1
Saline Cavern,4,55,100,0.2,0.1
Saline Cavern,4,56,100,0.2,0.1
Saline Cavern,4,57,100,0.2,0.1
Saline Cavern,4,58,100,0.2,0.1
Saline Cavern,4,59,100,0.2,0.1
Saline Cavern,4,60,100,0.2,0.1
Saline Cavern,4,61,100,0.2,0.1
Saline Cavern,5,1,100,0.2,0.1
Saline Cavern,5,2,100,0.2,0.1
Saline Cavern,5,3,100,0.2,0.1
Saline Cavern,5,4,100,0.2,0.1
Saline Cavern,5,5,100,0.2,0.1
Saline Cavern,5,6,100,0.2,0.1
Saline Cavern,5,7,100,0.2,0.1
Saline Cavern,5,8,100,0.2,0.1
Saline Cavern,5,9,100,0.2,0.1
Saline Cavern,5,10,100,0.2,0.1
Saline Cavern,5,11,100,0.2,0.1
Saline Cavern,5,12,100,0.2,0.1
Saline Cavern,5,13,100,0.2,0.1
Saline Cavern,5,14,100,0.2,0.1
Saline Cavern,5,15,100,0.2,0.1
Saline Cavern,5,16,100,0.2,0.1
Saline Cavern,5,17,100,0.2,0.1
Saline Cavern,5,18,100,0.2,0.1
Saline Cavern,5,19,100,0.2,0.1
Saline Cavern,5,20,100,0.2,0.1
Saline Cavern,5,21,100,0.2,0.1
Saline Cavern,5,22,100,0.2,0.1
Saline Cavern,5,23,100,0.2,0.1
Saline Cavern,5,24,100,0.2,0.1
Saline Cavern,5,25,100,0.2,0.1
Saline Cavern,5,26,100,0.2,0.1
Saline Cavern,5,27,100,0.2,0.1
Saline Cavern,5,28,100,0.2,0.1
Saline Cavern,5,29,100,0.2,0.1
Saline Cavern,5,30,100,0.2,0.1
Saline Cavern,5,31,100,0.2,0.1
Saline Cavern,5,32,100,0.2,0.1
Saline Cavern,5,33,100,0.2,0.1
