KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
22,1007766,41.1809,-84.6048,OH,Midwest,"""East North Central""",3,1,4,Wet,4,0.823868954,2557.533939,185022,1,1,1,1,1,0.22,0.5,0,0,0.14,0,0,0,0.14,283.992502,43.66521932,44.48910206,432020.6608,11382.90541,5809.997263,102.4985579,2.812404632,0,1007766_2
23,1007877,40.202236,-105.236697,CO,West,"""Mountain""",8,5,20,0,0,0.721666667,2648.145604,264996.3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,505.8914997,89.74371783,91.9539395,469765.3562,12377.40484,6317.603952,111.419681,2.812404632,0,1007877_1
24,1007927,34.6045,-117.3382,CA,West,"""Pacific""",9,6,23,Dry,3,0.855880222,2221.863797,1246974.1,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,1976.611478,76.79522443,77.24371861,282752.1029,7449.968794,3802.570324,111.4196811,2.812404631,0,1007927_1
25,1001689,34.9811,-112.376291,AZ,West,"""Mountain""",8,5,21,Dry,3,0.75967276,2359.911258,485598,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,692.2536966,76.12884252,76.48667107,417837.2321,11009.19961,5619.252494,111.4196811,2.812404632,0,1001689_1
26,1000633,37.4604,-79.9948,VA,South,"""South Atlantic""",5,1,12,Dry,3,0.786596322,2522.30823,808614,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,1239.087609,64.96689967,63.80607266,325273.5837,8570.327233,4374.417251,102.4985579,2.812404632,0,1000633_1
27,1003594,44.08401,-69.157238,ME,Northeast,"""New England""",1,1,1,Dry,1,0.721666667,2118.615042,329886.8,1,1,1,1,1,0,0,0.03,0.92,0,0.03,0,0,0.03,459.4016278,97.89295965,101.2119392,472095.2724,12438.7936,6348.937657,102.4985579,2.812404631,0,1003594_1
28,1004131,41.0633,-111.5317,UT,West,"""Mountain""",8,5,20,Dry,1,0.760461518,2771.243617,684487,1,1,1,1,1,0.45,0.03,0.5,0,0,0,0,0,0.03,988.4168664,74.32039386,74.43217111,365874.9829,9640.095258,4920.442105,111.419681,2.812404632,0,1004131_1
29,1004899,41.861,-89.4548,IL,Midwest,"""East North Central""",3,1,5,0,0,0.617,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,522.2151314,155.3150584,158.4062589,163352.3071,8734.241135,12762.98039,104.2225087,2.800233618,0,1004899_1
30,1000533,29.9616,-82.8497,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.714207216,1798.197114,601953,1,1,1,1,1,0.93,0.03,0,0,0,0,0,0,0.03,798.0553952,77.63983737,78.20324669,383610.9739,10107.40417,5158.963242,102.4985579,2.812404631,0,1000533_1
31,1005987,39.67913,-91.31424,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.782499466,1629.961186,763006.9,1,1,1,1,1,0.03,0.03,0,0.92,0,0,0,0,0.03,891.5900063,75.96788679,76.30381626,367984.5205,9695.677474,4948.812063,102.4985579,2.81240463,0,1005987_1
