Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    1                                 3  61                                                                 16.52
    1                                 4  1                                                                  35.00
    1                                 4  2                                                                  35.00
    1                                 4  3                                                                  35.00
    1                                 4  4                                                                  35.00
    1                                 4  5                                                                  35.00
    1                                 4  6                                                                  35.00
    1                                 4  7                                                                  35.00
    1                                 4  8                                                                  35.00
    1                                 4  9                                                                  35.00
    1                                 4  10                                                                 35.00
    1                                 4  11                                                                 35.00
    1                                 4  12                                                                 35.00
    1                                 4  13                                                                 35.00
    1                                 4  14                                                                 35.00
    1                                 4  15                                                                 35.00
    1                                 4  16                                                                 35.00
    1                                 4  17                                                                 35.00
    1                                 4  18                                                                 35.00
    1                                 4  19                                                                 35.00
    1                                 4  20                                                                 35.00
    1                                 4  21                                                                 35.00
    1                                 4  22                                                                 35.00
    1                                 4  23                                                                 35.00
    1                                 4  24                                                                 35.00
    1                                 4  25                                                                 35.00
    1                                 4  26                                                                 35.00
    1                                 4  27                                                                 35.00
    1                                 4  28                                                                 35.00
    1                                 4  29                                                                 35.00
    1                                 4  30                                                                 35.00
    1                                 4  31                                                                 35.00
    1                                 4  32                                                                 35.00
    1                                 4  33                                                                 35.00
    1                                 4  34                                                                 14.33
    1                                 4  35                                                                 13.81
    1                                 4  36                                                                 13.83
    1                                 4  37                                                                 15.72
    1                                 4  38                                                                 15.61
    1                                 4  39                                                                 14.87
    1                                 4  40                                                                 14.83
    1                                 4  41                                                                 15.75
    1                                 4  42                                                                 15.54
    1                                 4  43                                                                 15.48
    1                                 4  44                                                                 15.29
    1                                 4  45                                                                 15.73
    1                                 4  46                                                                 15.71
    1                                 4  47                                                                 15.64
    1                                 4  48                                                                 15.57
    1                                 4  49                                                                 15.46
    1                                 4  50                                                                 14.99
    1                                 4  51                                                                  0.96
    1                                 4  52                                                                 13.68
    1                                 4  53                                                                 14.13
    1                                 4  54                                                                 14.35
    1                                 4  55                                                                 17.57
    1                                 4  56                                                                 17.57
    1                                 4  57                                                                 17.56
    1                                 4  58                                                                 17.63
    1                                 4  59                                                                 17.63
    1                                 4  60                                                                 17.62
    1                                 4  61                                                                 17.56
    1                                 5  1                                                                  35.00
    1                                 5  2                                                                  35.00
    1                                 5  3                                                                  35.00
    1                                 5  4                                                                  35.00
    1                                 5  5                                                                  35.00
    1                                 5  6                                                                  35.00
    1                                 5  7                                                                  35.00
    1                                 5  8                                                                  35.00
    1                                 5  9                                                                  35.00
    1                                 5  10                                                                 35.00
    1                                 5  11                                                                 35.00
    1                                 5  12                                                                 35.00
    1                                 5  13                                                                 35.00
    1                                 5  14                                                                 35.00
    1                                 5  15                                                                 35.00
    1                                 5  16                                                                 35.00
    1                                 5  17                                                                 35.00
    1                                 5  18                                                                 35.00
    1                                 5  19                                                                 35.00
    1                                 5  20                                                                 35.00
    1                                 5  21                                                                 35.00
    1                                 5  22                                                                 35.00
    1                                 5  23                                                                 35.00
    1                                 5  24                                                                 35.00
    1                                 5  25                                                                 35.00
    1                                 5  26                                                                 35.00
    1                                 5  27                                                                 35.00
    1                                 5  28                                                                 35.00
    1                                 5  29                                                                 35.00
    1                                 5  30                                                                 35.00
    1                                 5  31                                                                 35.00
    1                                 5  32                                                                 35.00
    1                                 5  33                                                                 35.00
    1                                 5  34                                                                 14.70
    1                                 5  35                                                                 13.59
    1                                 5  36                                                                 13.83
    1                                 5  37                                                                 15.72
    1                                 5  38                                                                 15.61
    1                                 5  39                                                                 14.87
    1                                 5  40                                                                 14.83
    1                                 5  41                                                                 15.75
    1                                 5  42                                                                 15.51
    1                                 5  43                                                                 14.40
    1                                 5  44                                                                 14.25
    1                                 5  45                                                                 14.30
    1                                 5  46                                                                 14.30
    1                                 5  47                                                                 14.30
    1                                 5  48                                                                 14.30
    1                                 5  49                                                                 14.30
    1                                 5  50                                                                 14.31
    1                                 5  51                                                                 14.32
    1                                 5  52                                                                 13.68
    1                                 5  53                                                                 14.13
    1                                 5  54                                                                 14.18
    1                                 5  55                                                                 14.21
    1                                 5  56                                                                 14.20
    1                                 5  57                                                                 16.59
    1                                 5  58                                                                 15.57
    1                                 5  59                                                                 15.54
    1                                 5  60                                                                 15.93
    1                                 5  61                                                                 16.52
    1                                 6  1                                                                  35.00
    1                                 6  2                                                                  35.00
    1                                 6  3                                                                  35.00
    1                                 6  4                                                                  35.00
    1                                 6  5                                                                  35.00
    1                                 6  6                                                                  35.00
    1                                 6  7                                                                  35.00
    1                                 6  8                                                                  35.00
    1                                 6  9                                                                  35.00
    1                                 6  10                                                                 35.00
    1                                 6  11                                                                 35.00
    1                                 6  12                                                                 35.00
    1                                 6  13                                                                 35.00
    1                                 6  14                                                                 35.00
    1                                 6  15                                                                 35.00
    1                                 6  16                                                                 35.00
    1                                 6  17                                                                 35.00
    1                                 6  18                                                                 35.00
    1                                 6  19                                                                 35.00
    1                                 6  20                                                                 35.00
    1                                 6  21                                                                 35.00
    1                                 6  22                                                                 35.00
    1                                 6  23                                                                 35.00
    1                                 6  24                                                                 35.00
    1                                 6  25                                                                 35.00
    1                                 6  26                                                                 35.00
    1                                 6  27                                                                 35.00
    1                                 6  28                                                                 35.00
    1                                 6  29                                                                 35.00
    1                                 6  30                                                                 35.00
    1                                 6  31                                                                 35.00
    1                                 6  32                                                                 35.00
    1                                 6  33                                                                 35.00
    1                                 6  34                                                                 14.33
    1                                 6  35                                                                 13.59
    1                                 6  36                                                                 13.83
    1                                 6  37                                                                 15.72
    1                                 6  38                                                                 15.61
    1                                 6  39                                                                 14.87
    1                                 6  40                                                                 14.83
    1                                 6  41                                                                 15.75
    1                                 6  42                                                                 15.51
    1                                 6  43                                                                 14.40
    1                                 6  44                                                                 14.21
    1                                 6  45                                                                 14.16
    1                                 6  46                                                                 14.19
    1                                 6  47                                                                 14.17
    1                                 6  48                                                                 14.17
    1                                 6  49                                                                  7.25
    1                                 6  50                                                                  7.23
    1                                 6  51                                                                  0.96
    1                                 6  52                                                                 13.68
    1                                 6  53                                                                 14.13
    1                                 6  54                                                                 14.18
    1                                 6  55                                                                 14.21
    1                                 6  56                                                                 14.20
    1                                 6  57                                                                 16.59
    1                                 6  58                                                                 15.57
    1                                 6  59                                                                 15.54
    1                                 6  60                                                                 15.93
    1                                 6  61                                                                 16.52
    1                                 7  1                                                                  35.00
    1                                 7  2                                                                  35.00
    1                                 7  3                                                                  35.00
    1                                 7  4                                                                  35.00
    1                                 7  5                                                                  35.00
    1                                 7  6                                                                  35.00
    1                                 7  7                                                                  35.00
    1                                 7  8                                                                  35.00
    1                                 7  9                                                                  35.00
    1                                 7  10                                                                 35.00
    1                                 7  11                                                                 35.00
    1                                 7  12                                                                 35.00
    1                                 7  13                                                                 35.00
    1                                 7  14                                                                 35.00
    1                                 7  15                                                                 35.00
    1                                 7  16                                                                 35.00
    1                                 7  17                                                                 35.00
    1                                 7  18                                                                 35.00
    1                                 7  19                                                                 35.00
    1                                 7  20                                                                 35.00
    1                                 7  21                                                                 35.00
    1                                 7  22                                                                 35.00
    1                                 7  23                                                                 35.00
    1                                 7  24                                                                 35.00
    1                                 7  25                                                                 35.00
    1                                 7  26                                                                 35.00
    1                                 7  27                                                                 35.00
