COMPOSITE TABLE:
MNUMCR  MNUMYR  WRENEW_PBMRFBT
1       1          1.37852501869202     
2       1          0.00000000000000     
3       1          1.42694962024689     
4       1          1.37852501869202     
5       1          1.37852501869202     
6       1          1.51144468784332     
7       1          0.00000000000000     
8       1          1.67392659187317     
9       1          1.67392647266388     
10      1          1.67392635345459     
11      1          1.67392683029175     
1       2          0.00000000000000     
2       2          1.84552490711212     
3       2          2.00152492523193     
4       2          2.04536104202271     
5       2          1.84552502632141     
6       2          0.00000000000000     
7       2          2.93652510643005     
8       2          2.15752506256104     
9       2          2.16931462287903     
10      2          2.93652510643005     
11      2          0.00000000000000     
1       3          1.63015007972717     
2       3          1.53352499008179     
3       3          1.60471236705780     
4       3          1.68952500820160     
5       3          0.00000000000000     
6       3          0.00000000000000     
7       3          0.00000000000000     
8       3          0.00000000000000     
9       3          0.00000000000000     
10      3          0.00000000000000     
11      3          0.00000000000000     
1       4          0.00000000000000     
2       4          0.00000000000000     
3       4          0.00000000000000     
4       4          0.00000000000000     
5       4          0.00000000000000     
6       4          0.00000000000000     
7       4          0.00000000000000     
8       4          0.00000000000000     
9       4          0.00000000000000     
10      4          0.00000000000000     
11      4          0.00000000000000     
1       5          0.00000000000000     
2       5          0.00000000000000     
3       5          0.00000000000000     
4       5          0.00000000000000     
5       5          0.00000000000000     
6       5          0.00000000000000     
7       5          0.00000000000000     
8       5          0.00000000000000     
9       5          0.00000000000000     
10      5          0.00000000000000     
11      5          0.00000000000000     
1       6          0.00000000000000     
2       6          0.00000000000000     
3       6          0.00000000000000     
4       6          0.00000000000000     
5       6          0.00000000000000     
6       6          0.00000000000000     
7       6          0.00000000000000     
8       6          0.00000000000000     
9       6          0.00000000000000     
10      6          0.00000000000000     
11      6          0.00000000000000     
1       7          0.00000000000000     
2       7          0.00000000000000     
3       7          0.00000000000000     
4       7          0.00000000000000     
5       7          0.00000000000000     
6       7          0.00000000000000     
7       7          0.00000000000000     
8       7          0.00000000000000     
9       7          0.00000000000000     
10      7          0.00000000000000     
11      7          0.00000000000000     
1       8          0.00000000000000     
2       8          0.00000000000000     
3       8          0.00000000000000     
4       8          0.00000000000000     
5       8          0.00000000000000     
6       8          0.00000000000000     
