COMPOSITE TABLE:
MNUMY3  MACOUT_MC_JPGDP
1          1.00000000000000     
2          1.03418004512787     
3          1.07328999042511     
4          1.11561906337738     
5          1.15316247940063     
6          1.17946815490723     
7          1.20745694637299     
8          1.23318862915039     
9          1.25908231735229     
10         1.28210520744324     
11         1.30431735515594     
12         1.31869757175446     
13         1.33716249465942     
14         1.36772835254669     
15         1.39925396442413     
16         1.42026090621948     
17         1.44870543479919     
18         1.48738837242126     
19         1.53381562232971     
20         1.58152735233307     
21         1.62433433532715     
22         1.65490889549255     
23         1.66580891609192     
24         1.68588685989380     
25         1.72082674503326     
26         1.75313699245453     
27         1.78414118289948     
28         1.81734108924866     
29         1.83485484123230     
30         1.85311806201935     
31         1.88886010646820     
32         1.93416988849640     
33         1.96839535236359     
34         1.99401748180389     
35         2.06971144676208     
36         2.11950969696045     
37         2.15721750259399     
38         2.20613598823547     
39         2.25854396820068     
40         2.31401062011719     
41         2.37279605865479     
42         2.43254351615906     
43         2.49185466766357     
44         2.55001544952393     
45         2.60889053344727     
46         2.66692709922791     
47         2.72584176063538     
48         2.78650188446045     
49         2.84813618659973     
50         2.91092085838318     
51         2.97542214393616     
52         3.04179215431213     
53         3.10913419723511     
54         3.17984366416931     
55         3.25203824043274     
56         3.32630085945129     
57         3.40255737304688     
58         3.48044037818909     
59         3.55947852134705     
60         3.64084625244141     
61         3.72376966476440     
62         3.80877184867859     
63         3.89601850509644     
64         3.98519468307495     
;
COMPOSITE TABLE:
MNUMYR  MACOUT_MC_RMGBLUSREAL
1          4.92200136184692     
2          3.93450164794922     
3          3.62026691436768     
4          3.21722054481506     
5          5.43573856353760     
6          5.22364330291748     
7          4.97977399826050     
8          4.94145727157593     
9          4.29008245468140     
10         4.75291633605957     
11         4.84367275238037     
12         3.51679325103760     
13         3.56798315048218     
14         3.41950249671936     
15         3.77373504638672     
16         3.07862925529480     
17         3.07001090049744     
18         2.69264817237854     
19         1.59133398532867     
20        0.569919586181641     
21        0.782705307006836     
22        0.638658881187439     
23       -0.156287074089050     
24        0.181759327650070     
25        0.456958323717117     
26        0.317632377147675     
27        6.496214121580124E-002
28        0.560529828071594     
29         1.09084081649780     
30        2.948098070919514E-002
31        -1.04771482944489     
32       -0.544266521930695     
33       -4.645144939422607E-002
34        0.339617788791656     
35        0.938718438148499     
36         1.26782369613647     
37         1.19057273864746     
38         1.12382495403290     
39         1.21212279796600     
40         1.32840955257416     
41         1.40844023227692     
42         1.47018325328827     
43         1.49075472354889     
44         1.48328971862793     
45         1.45701777935028     
46         1.41615247726440     
47         1.38711702823639     
48         1.36776149272919     
49         1.33494198322296     
50         1.29123520851135     
51         1.25632023811340     
52         1.22154021263123     
53         1.19305694103241     
54         1.18347299098969     
55         1.19056594371796     
56         1.20273172855377     
57         1.20890676975250     
58         1.21037673950195     
59         1.21064519882202     
60         1.21003520488739     
61         1.20756971836090     
;
