Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    2                                10  37                                                                 10.59
    2                                10  38                                                                 10.67
    2                                10  39                                                                 10.75
    2                                10  40                                                                 10.83
    2                                10  41                                                                 10.91
    2                                10  42                                                                 11.00
    2                                11  34                                                                 81.90
    2                                11  35                                                                 28.55
    2                                11  36                                                                  9.34
    2                                11  37                                                                  7.68
    2                                11  38                                                                  7.68
    2                                11  39                                                                  7.69
    2                                11  40                                                                  7.70
    2                                11  41                                                                  7.70
    2                                11  42                                                                 15.91
    3                                 1  34                                                                 76.32
    3                                 1  35                                                                 76.32
    3                                 1  36                                                                 76.32
    3                                 1  37                                                                  2.09
    3                                 1  38                                                                  2.10
    3                                 1  39                                                                  2.10
    3                                 1  40                                                                  2.50
    3                                 1  41                                                                  2.11
    3                                 1  42                                                                  9.92
    3                                 2  34                                                                 76.32
    3                                 2  35                                                                  2.08
    3                                 2  36                                                                  2.09
    3                                 2  37                                                                  2.09
    3                                 2  38                                                                  2.10
    3                                 2  39                                                                  2.10
    3                                 2  40                                                                  2.11
    3                                 2  41                                                                  2.11
    3                                 2  42                                                                  9.50
    3                                 3  34                                                                 76.32
    3                                 3  35                                                                 76.32
    3                                 3  36                                                                  2.09
    3                                 3  37                                                                  2.09
    3                                 3  38                                                                  2.10
    3                                 3  39                                                                  2.10
    3                                 3  40                                                                  2.11
    3                                 3  41                                                                  2.11
    3                                 3  42                                                                  9.67
    3                                 4  34                                                                 76.32
    3                                 4  35                                                                 76.32
    3                                 4  36                                                                  2.09
    3                                 4  37                                                                  2.09
    3                                 4  38                                                                  2.10
    3                                 4  39                                                                  2.10
    3                                 4  40                                                                  2.11
    3                                 4  41                                                                  2.11
    3                                 4  42                                                                  9.67
    3                                 5  34                                                                 76.32
    3                                 5  35                                                                  2.08
    3                                 5  36                                                                  2.09
    3                                 5  37                                                                  2.09
    3                                 5  38                                                                  2.10
    3                                 5  39                                                                  2.10
    3                                 5  40                                                                  2.11
    3                                 5  41                                                                  2.11
    3                                 5  42                                                                  9.50
    3                                 6  34                                                                 76.32
    3                                 6  35                                                                  2.08
    3                                 6  36                                                                  2.09
    3                                 6  37                                                                  2.09
    3                                 6  38                                                                  2.10
