Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
!   -----------------  ----------------  ----------    ----------------------------------------------------------
    1                                 1  34                                                                 71.36
    1                                 2  34                                                                 51.26
    1                                 3  34                                                                 49.56
    1                                 4  34                                                                 49.56
    1                                 5  34                                                                 51.02
    1                                 6  34                                                                 49.56
    1                                 7  34                                                                 49.56
    1                                 8  34                                                                 49.56
    1                                 9  34                                                                 62.42
    1                                10  34                                                                  0.30
    2                                 1  34                                                                 71.36
    2                                 2  34                                                                 51.26
    2                                 3  34                                                                 49.56
    2                                 4  34                                                                 49.56
    2                                 5  34                                                                 51.02
    2                                 6  34                                                                 49.56
    2                                 7  34                                                                 49.56
    2                                 8  34                                                                 49.56
    2                                 9  34                                                                 62.42
    2                                10  34                                                                  0.30
    3                                 1  34                                                                 71.36
    3                                 2  34                                                                 51.26
    3                                 3  34                                                                 49.56
    3                                 4  34                                                                 49.56
    3                                 5  34                                                                 51.02
    3                                 6  34                                                                 49.56
    3                                 7  34                                                                 49.56
    3                                 8  34                                                                 49.56
    3                                 9  34                                                                 62.42
    3                                10  34                                                                  0.30
    4                                 1  34                                                                 71.36
    4                                 2  34                                                                 51.26
    4                                 3  34                                                                 49.56
    4                                 4  34                                                                 49.56
    4                                 5  34                                                                 51.02
    4                                 6  34                                                                 49.56
    4                                 7  34                                                                 49.56
    4                                 8  34                                                                 49.56
    4                                 9  34                                                                 62.42
    4                                10  34                                                                  0.30
    5                                 1  34                                                                 71.36
    5                                 2  34                                                                 51.26
    5                                 3  34                                                                 49.56
    5                                 4  34                                                                 49.56
    5                                 5  34                                                                 51.02
    5                                 6  34                                                                 49.56
    5                                 7  34                                                                 49.56
    5                                 8  34                                                                 49.56
    5                                 9  34                                                                 62.42
    5                                10  34                                                                  0.30
    6                                 1  34                                                                 71.36
    6                                 2  34                                                                 51.26
    6                                 3  34                                                                 49.56
    6                                 4  34                                                                 49.56
    6                                 5  34                                                                 51.02
    6                                 6  34                                                                 49.56
    6                                 7  34                                                                 49.56
    6                                 8  34                                                                 49.56
    6                                 9  34                                                                 62.42
    6                                10  34                                                                  0.30
    7                                 1  34                                                                 71.36
    7                                 2  34                                                                 51.26
    7                                 3  34                                                                 49.56
    7                                 4  34                                                                 49.56
    7                                 5  34                                                                 51.02
    7                                 6  34                                                                 49.56
    7                                 7  34                                                                 49.56
    7                                 8  34                                                                 49.56
    7                                 9  34                                                                 62.42
    7                                10  34                                                                  0.30
    8                                 1  34                                                                 71.36
    8                                 2  34                                                                 51.26
    8                                 3  34                                                                 49.56
    8                                 4  34                                                                 49.56
    8                                 5  34                                                                 51.02
    8                                 6  34                                                                 49.56
    8                                 7  34                                                                 49.56
    8                                 8  34                                                                 49.56
    8                                 9  34                                                                 62.42
    8                                10  34                                                                  0.30
    9                                 1  34                                                                 71.36
    9                                 2  34                                                                 51.26
    9                                 3  34                                                                 49.56
    9                                 4  34                                                                 49.56
    9                                 5  34                                                                 51.02
    9                                 6  34                                                                 49.56
    9                                 7  34                                                                 49.56
    9                                 8  34                                                                 49.56
    9                                 9  34                                                                 62.42
    9                                10  34                                                                  0.30
    10                                1  34                                                                 71.36
    10                                2  34                                                                 51.26
    10                                3  34                                                                 49.56
    10                                4  34                                                                 49.56
    10                                5  34                                                                 51.02
    10                                6  34                                                                 49.56
    10                                7  34                                                                 49.56
    10                                8  34                                                                 49.56
    10                                9  34                                                                 62.42
    10                               10  34                                                                  0.30
    ;
 
