Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
!   -----------------  ----------------  ----------    ----------------------------------------------------------
    1                                 1  34                                                                 81.90
    1                                 1  35                                                                 15.48
    1                                 2  34                                                                 81.90
    1                                 2  35                                                                 14.98
    1                                 3  34                                                                 81.90
    1                                 3  35                                                                 14.98
    1                                 4  34                                                                 81.90
    1                                 4  35                                                                 15.87
    1                                 5  34                                                                 81.90
    1                                 5  35                                                                 14.98
    1                                 6  34                                                                 81.90
    1                                 6  35                                                                 14.98
    1                                 7  34                                                                 81.90
    1                                 7  35                                                                 15.87
    1                                 8  34                                                                 81.90
    1                                 8  35                                                                 15.87
    1                                 9  34                                                                 81.90
    1                                 9  35                                                                 15.87
    1                                10  34                                                                  7.45
    1                                10  35                                                                  7.45
    1                                11  34                                                                 81.90
    1                                11  35                                                                 15.58
    2                                 1  34                                                                 81.90
    2                                 1  35                                                                 15.48
    2                                 2  34                                                                 81.90
    2                                 2  35                                                                 14.98
    2                                 3  34                                                                 81.90
    2                                 3  35                                                                 14.98
    2                                 4  34                                                                 81.90
    2                                 4  35                                                                 15.87
    2                                 5  34                                                                 81.90
    2                                 5  35                                                                 14.98
    2                                 6  34                                                                 81.90
    2                                 6  35                                                                 14.98
    2                                 7  34                                                                 81.90
    2                                 7  35                                                                 15.87
    2                                 8  34                                                                 81.90
    2                                 8  35                                                                 15.87
    2                                 9  34                                                                 81.90
    2                                 9  35                                                                 15.87
    2                                10  34                                                                  7.45
    2                                10  35                                                                  7.45
    2                                11  34                                                                 81.90
    2                                11  35                                                                 15.55
    3                                 1  34                                                                 76.32
    3                                 1  35                                                                  9.90
    3                                 2  34                                                                 76.32
    3                                 2  35                                                                  9.40
    3                                 3  34                                                                 76.32
    3                                 3  35                                                                  9.40
    3                                 4  34                                                                 76.32
    3                                 4  35                                                                 10.28
    3                                 5  34                                                                 76.32
    3                                 5  35                                                                  9.40
    3                                 6  34                                                                 76.32
    3                                 6  35                                                                  9.40
    3                                 7  34                                                                 76.32
    3                                 7  35                                                                 10.28
    3                                 8  34                                                                 76.32
    3                                 8  35                                                                 10.28
    3                                 9  34                                                                 76.32
    3                                 9  35                                                                 10.28
    3                                10  34                                                                  1.86
    3                                10  35                                                                  1.86
    3                                11  34                                                                 68.87
    3                                11  35                                                                  9.05
    4                                 1  34                                                                 76.32
    4                                 1  35                                                                  9.90
    4                                 2  34                                                                 76.32
    4                                 2  35                                                                  9.40
    4                                 3  34                                                                 76.32
    4                                 3  35                                                                  9.40
    4                                 4  34                                                                 76.32
    4                                 4  35                                                                 10.28
    4                                 5  34                                                                 76.32
    4                                 5  35                                                                  9.40
    4                                 6  34                                                                 76.32
    4                                 6  35                                                                  9.40
    4                                 7  34                                                                 76.32
    4                                 7  35                                                                 10.28
    4                                 8  34                                                                 76.32
    4                                 8  35                                                                 10.28
    4                                 9  34                                                                 76.32
    4                                 9  35                                                                 10.28
    4                                10  34                                                                  1.86
    4                                10  35                                                                  1.86
    4                                11  34                                                                 68.87
    4                                11  35                                                                  9.05
    5                                 1  34                                                                 76.32
    5                                 1  35                                                                  9.90
    5                                 2  34                                                                 76.32
    5                                 2  35                                                                  9.40
    5                                 3  34                                                                 76.32
    5                                 3  35                                                                  9.40
    5                                 4  34                                                                 76.32
    5                                 4  35                                                                 10.28
    5                                 5  34                                                                 76.32
    5                                 5  35                                                                  9.40
    5                                 6  34                                                                 76.32
    5                                 6  35                                                                  9.40
    5                                 7  34                                                                 76.32
    5                                 7  35                                                                 10.28
    5                                 8  34                                                                 76.32
    5                                 8  35                                                                 10.28
